codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5835721,ESTAGIO,R SANTOS COMERCIO DE MOVEIS PLANEJADOS LTDA,,Marketing,,500.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Ponta Verde', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,08:00:00,14:00:00,"['Atuar no suporte em edição de vídeos', 'Realizar atividade supervisionada de aprendizado ao organizar backup e arquivos (pastas, fotos, vídeos)', 'Realizar o auxilio nas publicações no portal da autarquia; fotografia e edição de imagens']","{'semestreInicio': 2, 'semestreFinal': 6, 'escolas': None}",SU,,AL,Maceió,2704302
5835691,ESTAGIO,R SANTOS COMERCIO DE MOVEIS PLANEJADOS LTDA,,Administrativa,,500.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Ponta Verde', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,08:00:00,14:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar em rotinas diversas da área', 'Auxiliar na rotina administrativa']","{'semestreInicio': 2, 'semestreFinal': 6, 'escolas': None}",SU,,AL,Maceió,2704302
5834335,ESTAGIO,INSTITUTO ADOTE UM SORRISO - IAUS,,Marketing,,,1,Mensal,A_COMBINAR,,,600.0,800.0,,,[],Atividades de associações de defesa de direitos sociais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Mangabeiras', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",A_COMBINAR,,,"['Criar cartazes e propagandas', 'Criar cenários para programas', 'Criar e desenvolver conceitos publicitários coerentes com o mercado e os objetivos do anunciante']","{'semestreInicio': 2, 'semestreFinal': 8, 'escolas': None}",SU,,AL,Maceió,2704302
5831308,ESTAGIO,MACEIO SHOPPING,,Administrativa,,1518.0,1,Mensal,FIXO,,,,,,,[],Condomínios prediais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Mangabeiras', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",A_COMBINAR,,,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos e carrega-los com informações solicitadas', 'Acompanhar a entrada e saída de documentos']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,AL,Maceió,2704302
5830399,ESTAGIO,DIAGNOSE,,Administrativa - TÉC.,,750.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 46, 'beneficio': 'Vale transporte', 'valor': 0}]",Serviços de tomografia,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Gruta de Lourdes', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,07:30:00,13:30:00,"['Auxiliar no atendimento ao público', 'Auxiliar no atendimento publico interno e externo, por telefone e pessoalmente', 'Orientar clientes sobre produtos e serviços disponíveis no autoatendimento']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",TE,,AL,Maceió,2704302
5830081,ESTAGIO,DIAGNOSE,,Administrativa - TÉC.,,750.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 46, 'beneficio': 'Vale transporte', 'valor': 0}]",Serviços de tomografia,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Ponta Verde', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,07:30:00,13:30:00,"['Atender aos clientes', 'Atender ligações telefônicas e ao publico em geral', 'Orientar clientes sobre produtos e serviços disponíveis no autoatendimento']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",TE,,AL,Maceió,2704302
5828299,ESTAGIO,UNIPLAN,,Administrativa,,600.0,1,Mensal,FIXO,,,,,,,[],Educação superior - graduação,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Pajuçara', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",A_COMBINAR,,,"['Acessar arquivos diversos', 'Acompanhar cadastro de alunos', 'Apoiar no atendimento aos alunos e professores', 'Armazenar documentos e preencher planilhas', 'Acompanhamento dos alunos relacionados as rotinas acadêmicas']","{'semestreInicio': 1, 'semestreFinal': 18, 'escolas': None}",SU,,AL,Maceió,2704302
5827011,ESTAGIO,ODONTOCIS LTDA,,Administrativa,,600.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Amélia', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,08:00:00,15:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhamento do atendimento ao telefone', 'Realizar o apoio a área comercial em atendimento a clientes, no atendimento a ligações, recebimentos de e-mails, retorno a clientes, entre outros']","{'semestreInicio': 2, 'semestreFinal': 9, 'escolas': None}",SU,,AL,Maceió,2704302
5824766,ESTAGIO,D+ PLAST,,Administrativa - TÉC.,,850.0,1,Mensal,FIXO,,,,,,,[],Comércio atacadista de produtos alimentícios em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Lúcia', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,09:00:00,15:00:00,"['Acompanhamento supervisionado de relatórios da área administrativa', 'Assessorar nos procedimentos administrativos do setor', 'Alimentar planilhas e arquivar documentos']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",TE,,AL,Maceió,2704302
5823675,ESTAGIO,START SAUDE E SEGURANCA DO TRABALHO LTDA,,Administrativa,,750.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial com recursos para realização de exames complementares,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Antares', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,07:00:00,13:00:00,"['Acessar a internet', 'Acompanhar a entrada e saída de documentos', 'Acompanhar projetos', 'Acessar agendamento de visitas']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,AL,Maceió,2704302
5818652,ESTAGIO,ZERO OITO DOIS CONTABIL LTDA,,Contabilidade,,1000.0,1,Mensal,FIXO,,,,,,,[],Atividades de contabilidade,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Farol', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,14:00:00,18:00:00,"['Acompanhamento contábil fiscal, consulta de balancetes e lançamentos contábeis', 'Analisar e consistir as informações fiscais e contábil, conciliando com as obrigações acessórias ate a conclusão da resposta ao Fisco', 'Auxiliar na consultoria contábil e fiscal']","{'semestreInicio': 4, 'semestreFinal': 7, 'escolas': None}",SU,,AL,Maceió,2704302
5816130,ESTAGIO,E-PROJETOS ASSESSORIA E CONSULTORIA ESPECIALIZADA,,Contabilidade,,1000.0,1,Mensal,FIXO,,,,,,,[],"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Barro Duro', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",A_COMBINAR,,,"['Acessar arquivos diversos e distinguir o status de relevância', 'Acessar arquivos diversos utilizando aplicativos específicos', 'Acessar arquivos diversos, analisar o conteúdo e montar propostas de apresentação com objetivo de criar, melhorar ou descontinuar processo ou produto']","{'semestreInicio': 2, 'semestreFinal': 12, 'escolas': None}",SU,,AL,Maceió,2704302
5815019,ESTAGIO,SHOPPING PATIO MACEIO,,Administrativa,,850.0,1,Mensal,FIXO,,,,,,,[],Condomínios prediais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Tabuleiro do Martins', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,16:00:00,22:00:00,"['Auxiliar na coleta e digitalização de relatórios coletados in loco. Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar as atividades planejadas pelo supervisor, Cuidar da elaboração de relatórios mensais e semanais', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar as atividades planejadas pelo supervisor. Cuidar da elaboração de relatórios mensais e semanais.']","{'semestreInicio': 2, 'semestreFinal': 6, 'escolas': None}",SU,,AL,Maceió,2704302
5808848,ESTAGIO,DOCTOR CLIN,,Administrativa,,500.0,1,Mensal,FIXO,,,,,,,[],Atividade odontológica,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Mangabeiras', 'complemento': None, 'cep': None, 'cidade': 'Maceió', 'uf': 'AL'}",DEFINIDO,14:00:00,18:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar na análise de documentos e planilhas', 'Auxiliar nas rotinas administrativas']","{'semestreInicio': 3, 'semestreFinal': 10, 'escolas': None}",SU,,AL,Maceió,2704302
