codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5835125,ESTAGIO,A. S. A.,,Marketing,,700.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de artigos do vestuário e acessórios,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",DEFINIDO,10:30:00,17:00:00,"['Acessar arquivos diversos', 'Acompanhamento de projetos', 'Acompanhamento e controle de demandas da área de negócios para o marketing']","{'semestreInicio': 2, 'semestreFinal': 6, 'escolas': None}",SU,,AM,Manaus,1302603
5831330,ESTAGIO,JBM SERVICOS ADMINISTRATIVOS E PATRIMONIAIS LTDA,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Estacionamento de veículos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Flores', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",A_COMBINAR,,,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar no atendimento ao público', 'Auxiliar no atendimento telefônico e ao publico']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,AM,Manaus,1302603
5829950,ESTAGIO,Confidencial,,Ensino Médio,,600.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 11002, 'beneficio': 'Vale refeição mensal', 'valor': 100}]",Atividade médica ambulatorial restrita a consultas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Tancredo Neves', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",DEFINIDO,13:00:00,19:00:00,"['Acompanhar o atendimento ao cliente', 'Ajudar no atendimento de telefone e de público', 'Auxiliar no atendimento ao público', 'Receber , atender, orientar e negociar com clientes internos e externos']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",EM,,AM,Manaus,1302603
5828941,ESTAGIO,ONMENTAL CLINICA DE SAUDE,,Administrativa - TÉC.,,500.0,1,Mensal,FIXO,,,,,,,[],Atividades de psicologia e psicanálise,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Chapada', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",A_COMBINAR,,,"['Arquivar contratos, contas e impostos', 'Atender aos clientes', 'Atualizar planilhas de banco de dados', 'Auxiliar a alimentar planilhas diversas e banco de dados', 'Auxiliar em atividades administrativas', 'Auxiliar no arquivamento de documentos', 'Auxiliar no atendimento ao público', 'Auxiliar nos procedimentos administrativos do setor']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",TE,,AM,Manaus,1302603
5820025,ESTAGIO,A S F ODONTO EIRELI,,Administrativa,,850.0,1,Mensal,FIXO,,,,,,,[],Atividade odontológica,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Cidade Nova', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",DEFINIDO,08:00:00,14:00:00,"['Assessorar a clínica nas diversas áreas', 'Digitalizações e cópias para envios através de sistema', 'Controle e organização de documentos']","{'semestreInicio': 2, 'semestreFinal': 9, 'escolas': None}",SU,,AM,Manaus,1302603
5815292,ESTAGIO,SAMEA REGINA HAIR CLINIC,,Marketing,,850.0,1,Mensal,FIXO,,,,,,,[],"Cabeleireiros, manicure e pedicure","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Nova Esperança', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",DEFINIDO,11:00:00,17:00:00,"['Atuar no suporte em edição de vídeos', 'Realizar monitoramento e postagem de conteúdos referente a marca nas redes sociais', 'Auxiliar na confeccao de posts para as redes sociais']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,AM,Manaus,1302603
5812452,ESTAGIO,INNOVACAO,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de outros produtos não especificados anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Planalto', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",DEFINIDO,08:00:00,15:00:00,"['Acompanhar o atendimento ao cliente', 'Conduzir negociação e acordo com clientes', 'Acompanhar os relatorios do departamento']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,AM,Manaus,1302603
5810884,ESTAGIO,PIAZZA BUSINESS CENTER,,Administrativa,,938.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Dom Pedro I', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",A_COMBINAR,07:30:00,12:30:00,"['Acompanhar a entrada e saída de documentos', 'Acompanhar o atendimento ao cliente', 'Auxiliar nas rotinas administrativas']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,,AM,Manaus,1302603
5809150,ESTAGIO,M I DA CRUZ MAGALHÃES E CIA LTDA,,Design - TÉC.,,700.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de artigos de papelaria,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",DEFINIDO,08:00:00,12:00:00,"['Auxiliar na aplicação de técnicas de criação e edição de paginas para internet', 'Consultar catálogos ou normas de desenhos', 'Desenvolver designer de sites']","{'semestreInicio': 3, 'semestreFinal': 18, 'escolas': None}",TE,,AM,Manaus,1302603
5808677,ESTAGIO,CRECHE ESCOLA CONFIARE LTDA,,Administrativa,,800.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 53, 'beneficio': 'Refeitório no local', 'valor': 0}]",Educação infantil - creche,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Aleixo', 'complemento': None, 'cep': None, 'cidade': 'Manaus', 'uf': 'AM'}",DEFINIDO,10:00:00,17:00:00,"['Acompanhamento do atendimento ao telefone', 'Acompanhar as planilha de banco de dados', 'Acompanhar o agendamento de visitas a clientes', 'Auxiliar na realizacao de matriculas para curso']","{'semestreInicio': 3, 'semestreFinal': 10, 'escolas': None}",SU,,AM,Manaus,1302603
