codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5836909,ESTAGIO,SINDJUFEBA,,Comunicação,,742.0,1,Mensal,FIXO,,,,,,,[],Atividades de organizações sindicais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Sussuarana', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",DEFINIDO,09:00:00,13:00:00,"['Acessar as redes sociais da categoria', 'Acompanhar as ações que envolvam a imagem da empresa', 'Acompanhar o planejamento estratégico de mídias sociais', 'Acompanhar publicações em redes sociais', 'Auxiliar na publicação de conteúdo nas redes sociais', 'Apoiar na escrita e revisão de textos para boletins e outras mídias']","{'semestreInicio': 5, 'semestreFinal': 6, 'escolas': None}",SU,,BA,Salvador,2927408
5836075,ESTAGIO,SANATORIO,,Ensino Médio,,450.0,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santo Antônio', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",DEFINIDO,08:00:00,12:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar na analise e conferencia de arquivo de documentos', 'Organizar e repor material de apoio e estoque', 'Auxiliar na elaboração de documentos administrativos (relatórios e/ou formulários diversos)']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",EM,,BA,Salvador,2927408
5834666,ESTAGIO,UTILIDADES BRASIL,,Ensino Médio,,600.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Marechal Rondon', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",DEFINIDO,07:00:00,12:00:00,"['Acompanhar os clientes', 'Ajudar no controle de entrada e saída de materiais', 'Auxiliar no atendimento telefônico']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",EM,,BA,Salvador,2927408
5832850,ESTAGIO,4 OFICIO DE REGISTRO DE IMOVEIS DE SALVADOR,,Administrativa,,831.6,1,Mensal,FIXO,,,,,,,[],Cartórios,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Stiep', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",DEFINIDO,09:00:00,15:30:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância', 'Acessar arquivos diversos e elaborar relatórios sob demanda']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,,BA,Salvador,2927408
5832470,ESTAGIO,TRANSFORMAR-SE PSICOLOGIA NA PRATICA,,Marketing,,800.0,1,Mensal,FIXO,,,,,,,[],Atividades de psicologia e psicanálise,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Brotas', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",A_COMBINAR,,,"['Auxiliar em todas as fases de identidade visual de agencias, buscando a melhoria continua no processo', 'Auxiliar na criação de conteúdos para as redes sociais', 'Auxiliar na confecção de posts para as redes sociais']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,BA,Salvador,2927408
5832050,ESTAGIO,TRIBUNAL DE JUSTICA DO ESTADO DA BAHIA,,Secretariado,,1214.4,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro Administrativo da Bahia', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",A_COMBINAR,,,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar no suporte do desenvolvimento de controles gerais pertinentes a área de governança']","{'semestreInicio': 6, 'semestreFinal': 6, 'escolas': None}",SU,,BA,Salvador,2927408
5830528,ESTAGIO,INSTITUTO DE DESENVOLVIMENTO SOCIAL PELA MUSICA,,Administrativa,,1061.0,1,Mensal,FIXO,,,,,,,[],Atividades de organizações associativas ligadas à cultura e à arte,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Bairro da Paz', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",DEFINIDO,08:00:00,13:15:00,"['Atualização e manutenção do sistema;  Tarefas administrativas padrões (realização de documentos, cópias etc);  Apoio no momento de novas inscrições;', 'Apoio nos controles de dados do Núcleo; Chamada e lista de presença dos integrantes; Controle da frequência dos monitores e instrutores;', 'Atendimento básico aos integrantes e aos familiares, Dar um apoio técnico em caso de apresentação musical ou visitas de pessoas exteriores, Responder a solicitações do coordenador do núcleo.']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,,BA,Salvador,2927408
5829382,ESTAGIO,COMFIL,,Administrativa - TÉC.,,500.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial restrita a consultas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Itaigara', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",DEFINIDO,07:00:00,12:00:00,"['Auxiliar na organização de arquivos e documentos', 'Auxiliar no atendimento ao público', 'Consultar arquivos de dados']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",TE,,BA,Salvador,2927408
5827211,ESTAGIO,CLINICA DE RADIOLOGIA BUCO-MAXILO FACIAL SANTOS RIBEIRO LTDA,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Serviços de tomografia,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Itaigara', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",A_COMBINAR,,,"['Auxiliar na organização de arquivos e documentos', 'Auxiliar nas rotinas administrativas do setor', 'Auxiliar no atendimento ao cliente', 'Auxiliar no atendimento telefônico']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,BA,Salvador,2927408
5824497,ESTAGIO,TADMEDICAL COMERCIO E IMPORTACAO DE MATERIAL MÉDICO LTDA,,Administrativa,,900.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 67, 'beneficio': 'Auxílio alimentação diario', 'valor': 19.9}]","Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Itaigara', 'complemento': None, 'cep': None, 'cidade': 'Salvador', 'uf': 'BA'}",DEFINIDO,09:00:00,15:30:00,"['Acompanhamento da conciliação contábil das contas contábeis da gerencia', 'Acompanhar a entrada e saída de documentos', 'Controlar saldos com as empresas associadas', 'Verificar movimentações no sistema', 'Acompanhar o fechamento']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,BA,Salvador,2927408
