codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5837649,ESTAGIO,SB DESIGN ,,Administrativa - TÉC.,,700.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Edson Queiroz', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",A_COMBINAR,,,"['Auxiliar no atendimento telefônico', 'Enviar , receber e controlar os e-mails', 'Arquivar e digitalizar documentos']","{'semestreInicio': 1, 'semestreFinal': 3, 'escolas': None}",TE,,CE,Fortaleza,2304400
5837507,ESTAGIO,GEOTECH,,Meio Ambiente,,800.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}]",Atividades de estudos geológicos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Papicu', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",DEFINIDO,08:00:00,14:00:00,['Elaborar mapas tematicos'],"{'semestreInicio': 2, 'semestreFinal': 7, 'escolas': None}",SU,,CE,Fortaleza,2304400
5837396,ESTAGIO,ORTO SYSTEM SERVICOS ODONTOLOGICOS LTDA,,Saúde - TÉC.,,800.0,1,Mensal,FIXO,,,,,,,[],Atividade odontológica,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",DEFINIDO,12:00:00,18:00:00,"['Acompanhar o atendimento de pacientes', 'Auxiliar em todas as atividades relacionadas aos procedimentos radiológicos para Diagnostico por Imagem', 'Auxiliar na preparação de material a ser usado no laboratório']","{'semestreInicio': 1, 'semestreFinal': 10, 'escolas': None}",TE,,CE,Fortaleza,2304400
5836254,ESTAGIO,SERVICOS DE CONDICIONAMENTO FISICO LTDA,,Esportes,,870.0,1,Mensal,FIXO,,,,,,,[],Serviços combinados de escritório e apoio administrativo,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'ALDEOTA', 'complemento': None, 'cep': None, 'cidade': 'FORTALEZA', 'uf': 'CE'}",A_COMBINAR,,,"['Auxiliar nas atividades de musculação', 'Auxiliar no apoio ao professor de musculação', 'Auxiliar no monitoramento da aula de musculação', 'Auxiliar os instrutores nas aulas de musculação', 'Realizar o acompanhamento na elaboração de aulas, metodologia e reuniões de diversos setores da academia como musculação e coletivas']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,CE,Fortaleza,2304400
5835994,ESTAGIO,VALGEAN FARIAS DA GUIA,,Administrativa,,750.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 58, 'beneficio': 'Vale alimentação', 'valor': 0.01}]","Locação de outros meios de transporte não especificados anteriormente, sem condutor","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Serrinha', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",A_COMBINAR,,,"['Acompanhar a entrada e saída de documentos', 'Auxiliar no atendimento a clientes', 'Fazer a liquidação de ordem de pagamento', 'Realizar atividades de aprendizado ao fazer a emissão de ordem de compras ou pedidos']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,CE,Fortaleza,2304400
5834914,ESTAGIO,PRONTOCARDIO SERVICOS MEDICOS HOSPITALARES LTDA,,Nutrição,,800.0,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Meireles', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",DEFINIDO,07:00:00,13:00:00,"['Acompanhar o supervisor na avaliação de adequação de tratamento através do diagnostico nutricional, necessidades nutricionais', 'Auxiliar na elaboração de programas de educação alimentar', 'Auxiliar o supervisor no acompanhamento nutricional dos pacientes', 'Conferir atividades gerais no serviço de alimentação']","{'semestreInicio': 4, 'semestreFinal': 10, 'escolas': None}",SU,,CE,Fortaleza,2304400
5834510,ESTAGIO,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA – INCRA,,Administrativa,,787.98,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Demócrito Rocha', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",DEFINIDO,13:00:00,17:00:00,"['Auxiliar no processo de atendimento; redigir documentos e correspondências diversas; auxiliar na organização e localização de arquivos físicos e digitalizados; assessorar na emissão de relatórios e planejamento orçamentário.', 'Auxiliar no atendimento, redigir documentos e ofícios diversos;', 'Auxílio e suporte no processo de atendimento, preparar, organizar,  analisar, e arquivar documentos e correspondências diversas, Organização e localização de arquivos físicos e digitalizados.']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13855515/incra-1 (1).png,CE,Fortaleza,2304400
5833004,ESTAGIO,MADEIREIRA ITAIPU LTDA,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Comércio atacadista de madeira e produtos derivados,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Parangaba', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",DEFINIDO,11:30:00,17:30:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar a entrada e saída de documentos', 'Alimentar o banco de dados', 'Auxiliar no atendimento a clientes', 'Elaborar relatórios']","{'semestreInicio': 2, 'semestreFinal': 5, 'escolas': None}",SU,,CE,Fortaleza,2304400
5832959,ESTAGIO,CREFITO-6,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Salinas', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",DEFINIDO,12:00:00,18:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e elaborar relatórios sob demanda', 'Acompanhar a entrada e saída de documentos', 'Acompanhar a revisão de fluxos e procedimentos administrativos']","{'semestreInicio': 4, 'semestreFinal': 7, 'escolas': None}",SU,,CE,Fortaleza,2304400
5832242,ESTAGIO,ARGOS PROMOTORA LTDA,,Marketing,,1000.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Messejana', 'complemento': None, 'cep': None, 'cidade': 'Fortaleza', 'uf': 'CE'}",A_COMBINAR,,,"['Acompanhar e analisar ações promocionais supervisionadas pelo marketing', 'Acompanhar o processo de marketing e propaganda', 'Auxiliar em ações e campanhas de endomarketing']","{'semestreInicio': 1, 'semestreFinal': 16, 'escolas': None}",SU,,CE,Fortaleza,2304400
