codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5837458,ESTAGIO,S_LINE,,Informática,,1200.0,1,Mensal,FIXO,,,,,,,[],Reparação e manutenção de computadores e de equipamentos periféricos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Luíza', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",A_COMBINAR,,,"['Acompanhamento supervisionado do desenvolvimento de novos programas', 'Acompanhar a criação de home page', 'Atuar na criação de edição de paginas web com utilização de softwares editores de paginas HTML, dentre outros recursos aplicativos Web', 'Auxiliar em instalações e customizações de aplicativos', 'Desenvolver , implementar e gerir a manutenção e avaliar sistemas de atenção a saúde, fluxo de pacientes, vigilância em saúde e campanhas preventivas', 'Acompanhamento supervisionado de desenvolvimento de software web']","{'semestreInicio': 2, 'semestreFinal': 6, 'escolas': None}",SU,,ES,Vitória,3205309
5837342,ESTAGIO,S_LINE,,Administrativa,,950.0,1,Mensal,FIXO,,,,,,,[],Reparação e manutenção de computadores e de equipamentos periféricos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Luíza', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,13:00:00,17:00:00,"['Acessar sistemas internos', 'Acompanhar no atendimento e na orientação aos clientes, identificando suas necessidades e direcionando-os para os gerentes, quando necessário', 'Auxiliar na gestão e suporte ao sistema', 'Auxiliar com o suporte e orientação ao público']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,ES,Vitória,3205309
5836678,ESTAGIO,ANNELLUS ASSESSORIA,,Administrativa,,1518.0,1,Mensal,FIXO,,,,,,,[],Atividades de cobranças e informações cadastrais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Enseada do Suá', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,08:00:00,14:20:00,"['Acompanhamento da normatização e documentação dos processos de politica de cobrança', 'Acompanhamento de melhorias do processo de cobrança', 'Acompanhar a elaboração de planilha eletrônica para tratamento de dados', 'Acompanhar as planilhas de banco de dados']","{'semestreInicio': 2, 'semestreFinal': 8, 'escolas': None}",SU,,ES,Vitória,3205309
5835682,ESTAGIO,CREFITO 15,,Administrativa,,1142.37,2,Mensal,FIXO,,,,,,,"[{'codigo': 11004, 'beneficio': 'Vale alimentação mensal', 'valor': 616}]",Atividades de fiscalização profissional,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Luíza', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",A_COMBINAR,,,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar micro computadores', 'Acessar na instrucao dos processos organizacionais']","{'semestreInicio': 3, 'semestreFinal': 18, 'escolas': None}",SU,,ES,Vitória,3205309
5834984,ESTAGIO,MOTIVE ADMINISTRADORA E CORRETORA DE SEGUROS,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],"Corretores e agentes de seguros, de planos de previdência complementar e de saúde","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Lúcia', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,12:00:00,18:00:00,"['Acessar sistemas da seguradora', 'Acompanhamento de inadimplência de operações especificas', 'Acompanhamento do atendimento ao telefone', 'Apoiar a equipe de atendimento na atualização de informações cadastrais']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",SU,,ES,Vitória,3205309
5834017,ESTAGIO,OAB/ES,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,12:00:00,18:00:00,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar agendamento de visitas']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,ES,Vitória,3205309
5833696,ESTAGIO,CENTROCOR,,Saúde - TÉC.,,800.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial restrita a consultas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Enseada do Suá', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,13:00:00,19:00:00,"['Acompanhar a analise de resultados dos exames', 'Acompanhar o atendimento de pacientes', 'Auxiliar nas orientações e encaminhamentos dos pacientes para exames']","{'semestreInicio': 1, 'semestreFinal': 18, 'escolas': None}",TE,,ES,Vitória,3205309
5831933,ESTAGIO,MAXXI DENTAL,,Marketing,,1200.0,1,Mensal,FIXO,,,,,,,[],Comércio atacadista de produtos odontológicos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Lúcia', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,13:00:00,18:00:00,"['Acompanhamento de todas as ações que envolvam a imagem da empresa', 'Realizar monitoramento de redes sociais', 'Realizar monitoramento e postagem de conteúdos referente a marca nas redes sociais', 'Realizar o apoio a equipe de vendas - desenvolvimento de material para apoio as vendas, com informações de audiência, mercado, consumo de mídia']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,ES,Vitória,3205309
5828674,ESTAGIO,GABI BODART,,Administrativa - TÉC.,,850.0,1,Mensal,FIXO,,,,,,,[],Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Ilha de Santa Maria', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,08:30:00,12:30:00,"['Ajudar no atendimento de telefone e de público', 'Arquivar documentos', 'Auxiliar a alimentar planilhas diversas e banco de dados', 'Auxiliar na conferência de documentos diversos', 'Auxiliar na elaboração de documentos, relatórios e/ou formulários diversos']","{'semestreInicio': 1, 'semestreFinal': 4, 'escolas': None}",TE,,ES,Vitória,3205309
5826841,ESTAGIO,CAMBURI LIFE STÚDIO,,Esportes,,800.0,1,Mensal,FIXO,,,,,,,[],Atividades de condicionamento físico,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Camburi', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,16:00:00,21:00:00,"['Auxiliar ACOMPANHAR O SUPERVISOR NA ELABORAÇÃO DE TREINOS PARA OS ALUNOS', 'Auxiliar AUXILIAR EM ZELAR PELA CONSERVAÇÃO, SEGURANÇA E LIMPEZA DA SALA DE MUSCULAÇÃO E DOS EQUIPAMENTOS', 'Auxiliar AUXILIAR NA EXPLICAÇÃO DO USO CORRETO E SEGURO DOS EQUIPAMENTOS DA ACADEMIA']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,ES,Vitória,3205309
5826817,ESTAGIO,CAMBURI LIFE STÚDIO,,Esportes,,800.0,1,Mensal,FIXO,,,,,,,[],Atividades de condicionamento físico,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Camburi', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,06:00:00,11:00:00,"['Auxiliar ACOMPANHAR O SUPERVISOR NA ELABORAÇÃO DE TREINOS PARA OS ALUNOS', 'Auxiliar AUXILIAR EM ZELAR PELA CONSERVAÇÃO, SEGURANÇA E LIMPEZA DA SALA DE MUSCULAÇÃO E DOS EQUIPAMENTOS', 'Auxiliar AUXILIAR NA EXPLICAÇÃO DO USO CORRETO E SEGURO DOS EQUIPAMENTOS DA ACADEMIA']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,ES,Vitória,3205309
5822644,ESTAGIO,CARDIOSERVICE,,Saúde - TÉC.,,700.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial com recursos para realização de exames complementares,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Camburi', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",A_COMBINAR,08:00:00,13:00:00,"['Acompanhar a analise de resultados dos exames', 'Acompanhar a realização de exames de diagnostico', 'Ajudar na triagem e agendamento de consultas e exames']","{'semestreInicio': 2, 'semestreFinal': 4, 'escolas': None}",TE,,ES,Vitória,3205309
5819438,ESTAGIO,PERSPECTIVA ADMINISTRADORA E CORRETORA DE SEGUROS,,Administrativa,,1350.0,1,Mensal,FIXO,,,,,,,[],"Corretores e agentes de seguros, de planos de previdência complementar e de saúde","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Praia do Suá', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,09:00:00,15:30:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar sistemas da seguradora', 'Acompanhamento de processos internos', 'Acompanhar as áreas de apoio e produtos para a conclusão de cadastro e documentação', 'Analisar cadastro de novos clientes', 'Analisar dados para preenchimento de cadastro de empresas', 'Apoiar a equipe na alteracao de cadastro de processos', 'Apoiar em processos de cadastros']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,ES,Vitória,3205309
5813553,ESTAGIO,ACE-ES,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],Atividades de associações de defesa de direitos sociais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Enseada do Suá', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,12:00:00,18:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e elaborar relatórios sob demanda', 'Acompanhamento do atendimento ao telefone', 'Acompanhar a tramitação de documentos', 'Apoiar os analistas nas reuniões']","{'semestreInicio': 3, 'semestreFinal': 9, 'escolas': None}",SU,,ES,Vitória,3205309
5812654,ESTAGIO,SHORI VEICULOS,,Administrativa,,965.0,3,Mensal,FIXO,,,,,,,"[{'codigo': 58, 'beneficio': 'Vale alimentação', 'valor': 24.23}, {'codigo': 11003, 'beneficio': 'Vale alimentação diário', 'valor': 24.23}]","Comércio a varejo de automóveis, camionetas e utilitários novos","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jabour', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,12:00:00,18:00:00,"['Acessar a internet', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,ES,Vitória,3205309
5812626,ESTAGIO,SHORI VEICULOS,,Administrativa,,965.0,3,Mensal,FIXO,,,,,,,"[{'codigo': 11003, 'beneficio': 'Vale alimentação diário', 'valor': 24.23}, {'codigo': 58, 'beneficio': 'Vale alimentação', 'valor': 24.23}]","Comércio a varejo de automóveis, camionetas e utilitários novos","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jabour', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,08:00:00,15:00:00,"['AUXILIAR NA REALIZAÇÃO DE PESQUISAS DE SATISTAÇÃO DE VENDAS E PÓS VENDAS', 'AUXILIAR NO RESGATE DE CLIENTES DA AGENDA DA OFICINA QUE PORALGUM MOTIVO NÃO COMPARECERAM AO AGENDAMENTO', 'Auxiliar na realização do Check List']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,ES,Vitória,3205309
5812577,ESTAGIO,SHORI VEICULOS,,Administrativa,,965.0,1,Mensal,FIXO,,,,,,,[],"Comércio a varejo de automóveis, camionetas e utilitários novos","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jabour', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,12:00:00,18:00:00,"['Auxiliar no acompanhamento de autorização de serviços, bem como dar entrada e saída de notas fiscais enviadas pela fábrica', 'REALIZAR LANÇAMENTO DE TÍTULOS E NOTAS FISCAIS DE DESPESA', 'Auxiliar no lançamento de notas via nuvem', 'Auxiliar na elaboração de planilhas', 'REALIZAR CONFERÊNCIA LIVRO FISCAL DE ENTRADA COM SISTEMA DMS VIANUVEM (UNICOAUTO))']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,ES,Vitória,3205309
5811407,ESTAGIO,ARIES,,Construção Civil,,1000.0,1,Mensal,FIXO,,,,,,,[],"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Mata da Praia', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,13:00:00,17:00:00,"['Auxiliar em organizar arquivos e documentos', 'Auxiliar esporadicamente na fiscalização e vistorias externas, acompanhado pelo supervisor', 'Auxiliar na organização dos arquivos de documentos das agencias', 'Auxiliar na tramitação de documentos técnicos em geral', 'Auxiliar na elaboracao de documentos e relatorios', 'Criar documentos e relatorios']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,ES,Vitória,3205309
5809897,ESTAGIO,DROGARIAS SANTA LUCIA,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Lúcia', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,08:00:00,14:00:00,"['AUXILIAR NA ANALISE DE DOCUMENTOS', 'AUXILIAR NA CONSULTA DE DOCUMENTOS NO SISTEMA', 'ANÁLISE DE DOCUMENTAÇÃO, AUXILIAR NA DIGITAÇÃO DE TEXTOS, AUXILIAR NO ARQUIVOS DE DOCUMENTOS, AUXILIAR NO CADASTRO DE DOCUMENTOS NO SISTEMA']","{'semestreInicio': 2, 'semestreFinal': 9, 'escolas': None}",SU,,ES,Vitória,3205309
5808355,ESTAGIO,CETURB - ES,,Produção Mecânica,,1034.94,1,Mensal,FIXO,,,,,,,[],Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,13:00:00,17:00:00,"['Acessar sistemas internos', 'Acompanhamento de construção e montagem de equipamentos', 'Acompanhamento de manutenções corretivas']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,ES,Vitória,3205309
5808341,ESTAGIO,CETURB - ES,,Produção Mecânica,,1034.94,1,Mensal,FIXO,,,,,,,[],Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,08:00:00,12:00:00,"['Acompanhamento de construção e montagem de equipamentos', 'Acompanhamento de desempenhos das unidades da rede', 'Acompanhamento de manutenções corretivas']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,ES,Vitória,3205309
5798943,ESTAGIO,CONVICTA CORRETORA E ADMINISTRADORA DE SEGUROS,,Administrativa,,,1,Mensal,A_COMBINAR,,,100.0,1300.0,,,[],"Corretores e agentes de seguros, de planos de previdência complementar e de saúde","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Enseada do Suá', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,13:00:00,18:00:00,"['Apoiar a área comercial', 'Apoiar na realização de cotações de seguros', 'Assessorar no contato com clientes', 'Auxiliar o departamento comercial de marketing', 'Auxiliar em contato com fornecedores, quando aplicável;']","{'semestreInicio': 2, 'semestreFinal': 7, 'escolas': None}",SU,,ES,Vitória,3205309
5798062,ESTAGIO,ARELL IMPORTACAO E COMERCIO LTDA,,Marketing,,,1,Mensal,A_COMBINAR,,,950.0,1400.0,,,[],Comércio varejista de material elétrico,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Lúcia', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",A_COMBINAR,,,"['Auxiliar na construção de protótipos navegáveis e especificações funcionais das novas paginas do site', 'Auxiliar na execução de ilustrações para a composição de layouts', 'Auxiliar na produção de layouts para posts', 'Criar logotipos, cartazes e anúncios', 'Auxiliar na confeccao de posts para as redes sociais']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,ES,Vitória,3205309
5797132,ESTAGIO,VIFERRO FERRAMENTAS,,Marketing,,1100.0,1,Mensal,FIXO,,,,,,,[],Comércio atacadista de ferragens e ferramentas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Lúcia', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",A_COMBINAR,,,"['Acompanhar a construção de e-commerce com parceiros comerciais', 'Acompanhar a criação, desenvolvimento, produção e divulgação das atividades de marketing', 'Acompanhar a divulgação técnica dos produtos', 'Acompanhar a entrega de documentos e confirmações de clientes', 'Acompanhar a liberação diária de anúncios', 'Acompanhar alterações e implantações do site']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,ES,Vitória,3205309
5791831,ESTAGIO,CESAN,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],"Captação, tratamento e distribuição de água","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Gurigica', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",DEFINIDO,08:00:00,12:00:00,"['AUXILIAR NA ELABORAÇÃO DE RELATÓRIOS DE ANÁLISES GERENCIAIS, AUXILIAR NA REVISÃO DE FLUXOS E PROCEDIMENTOS ADMINISTRATIVOS, AUXILIAR NA ALIMENTAÇÃO E ATUALIZAÇÃO DE DADOS PROCESSUAIS NO CADASTRO, AUXILIAR NA ANÁLISE DE DOCUMENTOS PARA PREPARAÇÃO DE CONTRATOS, AUXILIAR NO ACOMPANHAMENTO DE CONTRATOS,', 'AUXILIAR NA ANÁLISE DA SITUAÇÃO DE CLIENTES E ORIENTÁ LOS SOBRE SERVIÇOS E PROCEDIMENTOS, AUXILIAR NA APRESENTAÇÃO DE PRODUTOS E SERVIÇOS DISPONÍVEIS, INFORMANDO SOBRE SEUS BENEFÍCIOS', 'AUXILIAR EM NEGOCIAÇÕES E ACORDOS COM CLIENTES, AUXILIAR NA ANÁLISE, ELABORAÇÃO E ADAPTAÇÃO DE FORMULÁRIOS, QUESTIONÁRIOS, FICHAS E RELATÓRIOS, AUXILIAR NA AUDITORIA DE PROCEDIMENTOS DO SISTEMA ELABORADO POR OUTROS DEPARTAMENTOS']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13609063/Imagem-do-WhatsApp-de-2025-05-23 (1) (1).png,ES,Vitória,3205309
5790635,ESTAGIO,HEACH,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim da Penha', 'complemento': None, 'cep': None, 'cidade': 'Vitória', 'uf': 'ES'}",A_COMBINAR,,,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Agendar entrevistas dos candidatos', 'Arquivar e manter documentos atualizados e organizados', 'Auxiliar no acompanhamento de contratações']","{'semestreInicio': 2, 'semestreFinal': 7, 'escolas': None}",SU,,ES,Vitória,3205309
