codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5836697,ESTAGIO,DIMAS BARBOSA DE OLIVEIRA JUNIOR CONSULTORIA EMPRESARIAL LTDA,,Marketing,,1600.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]","Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim América', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,,,"['Analisar o desenvolvimento de campanhas', 'Auxiliar na elaboração do planejamento estratégico de vendas', 'Auxiliar no atendimento ao cliente']","{'semestreInicio': 2, 'semestreFinal': 10, 'escolas': None}",SU,,GO,Goiânia,5208707
5836672,ESTAGIO,DIMAS BARBOSA DE OLIVEIRA JUNIOR CONSULTORIA EMPRESARIAL LTDA,,Informática,,1600.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]","Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim América', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,,,"['Acompanhamento de testes e programas', 'Auxilio no acompanhamento da implantação de módulos ou sistemas', 'Conduzir a documentação de procedimentos', 'desenvolvimento e melhorias do chatbot Cloudia']","{'semestreInicio': 3, 'semestreFinal': 12, 'escolas': None}",SU,,GO,Goiânia,5208707
5833134,ESTAGIO,SUPERMERCADO MATIAS,,Administrativa - TÉC.,,800.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Novo Mundo', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,12:01:00,18:01:00,"['Acompanhamento supervisionado de relatórios da área administrativa', 'Acompanhar a execução orçamentária', 'Auxiliar no atendimento ao público', 'Alimentar planilhas e arquivar documentos']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",TE,,GO,Goiânia,5208707
5832859,ESTAGIO,SHOPPING ESTACAO GOIANIA EMPREENDIMENTOS E EVENTOS S/A,,Administrativa,,1000.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 67, 'beneficio': 'Auxílio alimentação diario', 'valor': 43.74}, {'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 960}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 46, 'beneficio': 'Vale transporte', 'valor': 0}]",Gestão e administração da propriedade imobiliária,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'SETOR CENTRAL', 'complemento': None, 'cep': None, 'cidade': 'GOIÂNIA', 'uf': 'GO'}",A_COMBINAR,,,"['Acessar arquivos diversos', 'Acessar na elaboração de relatórios mensais', 'Acessar processos de auditorias e transparências dos processos para posterior relatórios para a diretoria', 'Acompanhamento de emissão de relatórios gerenciais']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,GO,Goiânia,5208707
5829799,ESTAGIO,COMERCIAL A.C.,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Setor Recanto das Minas Gerais', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,,,"['Auxiliar a equipe da área administrativa de vendas', 'Auxiliar na rotina administrativa', 'Auxiliar a organizar os servicos a serem executados, dando assistencia ao seu superior nos trabalhos de rotina', 'Auxiliar no controle de caixa']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,GO,Goiânia,5208707
5828457,ESTAGIO,AGÊNCIA DA PREVIDÊNCIA SOCIAL GOIÂNIA - CENTRO,,Informática,,1125.69,1,Mensal,FIXO,,,,,,,[],Seguridade social obrigatória,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Setor Central', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",DEFINIDO,07:00:00,13:00:00,"['Acompanhamento supervisionado na manutenção do sistema ou programas.', 'Acompanhamento de demandas do setor', 'Acompanhar a análise de sistemas para manutenção', 'Acompanhamento técnico da rede lógica', 'Suporte na manutenção dos computadores']","{'semestreInicio': 3, 'semestreFinal': 10, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13479102/INSS.png,GO,Goiânia,5208707
5826058,ESTAGIO,RUAS INDUSTRIA CSE EIRELI ME,,Administrativa,,1200.0,1,Mensal,FIXO,,,,,,,[],Fabricação de embalagens de papel,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Atlântico', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,,,"['Apoiar a área comercial', 'Auxiliar na elaboração de documentos, relatórios, planilhas e formulários diversos', 'Auxiliar no atendimento a clientes']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,GO,Goiânia,5208707
5823389,ESTAGIO,CSA SOLUCOES FINANCEIRAS LTDA,,Ensino Médio,,,4,Mensal,A_COMBINAR,,,800.0,1500.0,,,"[{'codigo': 11002, 'beneficio': 'Vale refeição mensal', 'valor': 100}, {'codigo': 46, 'beneficio': 'Vale transporte', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}]",Correspondentes de instituições financeiras,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Setor Central', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",DEFINIDO,10:00:00,16:00:00,"['Acessar sistemas internos', 'Ajudar no atendimento de telefone e de público', 'Analisar , conferir e arquivar documentos, formulários, impressos ou relatórios diversos']","{'semestreInicio': 1, 'semestreFinal': 4, 'escolas': None}",EM,,GO,Goiânia,5208707
5822640,ESTAGIO,MULTIMED MEDICINA DO TRABALHO,,Administrativa - TÉC.,,950.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Nova Suiça', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",DEFINIDO,08:00:00,16:00:00,"['Auxiliar na pesquisa de preços e dados de mercado / concorrência', 'Contatar clientes', 'Desenvolver estratégias', 'Distribuir tarefas', 'Elaborar propostas', 'Identificar clientes em potencial', 'Organizar prospectos para venda', 'Planejar estratégias de vendas e negócios', 'Programar visitas a clientes', 'Receber , atender e orientar clientes sobre produtos e serviços oferecidos']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",TE,,GO,Goiânia,5208707
5819508,ESTAGIO,MOUTI,,Marketing,,1200.0,4,Mensal,FIXO,,,,,,,"[{'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 56, 'beneficio': 'Possibilidade prorrogação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Serviços combinados de escritório e apoio administrativo,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Goiás', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,,,"['Auxiliar na criação de conteúdos para as redes sociais', 'Auxiliar no desenvolvimento de banners digital e imagens para as redes sociais', 'Realizar redação de textos para redes sociais', 'Auxiliar na publicacao e monitoramento das redes sociais, respondendo as mensagens']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,GO,Goiânia,5208707
5816688,ESTAGIO,SOLANGE REZENDE SOCIEDADE INDIVIDUAL DE ADVOCACIA,,Administrativa,,1000.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}, {'codigo': 56, 'beneficio': 'Possibilidade prorrogação', 'valor': 0}, {'codigo': 46, 'beneficio': 'Vale transporte', 'valor': 0}]",,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Setor Oeste', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",DEFINIDO,08:00:00,14:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar no atendimento a clientes', 'Avaliar juntamente com a supervisão o cumprimento de metas', 'Acompanhar relatórios e planilhas']","{'semestreInicio': 2, 'semestreFinal': 10, 'escolas': None}",SU,,GO,Goiânia,5208707
5815362,ESTAGIO,AGÊNCIA DA PREVIDÊNCIA SOCIAL GOIÂNIA - UNIVERSITÁRIO,,Administrativa,,1125.69,1,Mensal,FIXO,,,,,,,[],Seguridade social obrigatória,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Setor Leste Universitário', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",DEFINIDO,07:00:00,13:00:00,['Auxiliar na elaboração de minutas de convênios e termos de aditamentos'],"{'semestreInicio': 1, 'semestreFinal': 10, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13479102/INSS.png,GO,Goiânia,5208707
5810248,ESTAGIO,INSTITUTO DE DERMATOLOGIA E LASER SS LTDA,,Enfermagem,,1000.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial restrita a consultas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Setor Marista', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",DEFINIDO,13:00:00,19:00:00,"['Auxiliar na elaboração de programas de prevenção a saúde e ou atendimento', 'Auxiliar nas atividades de rotina do setor conforme escala', 'Auxiliar no registro de exames de pronto atendimento']","{'semestreInicio': 2, 'semestreFinal': 10, 'escolas': None}",SU,,GO,Goiânia,5208707
5809480,ESTAGIO,IPECOE,,Administrativa,,1200.0,7,Mensal,FIXO,,,,,,,"[{'codigo': 11003, 'beneficio': 'Vale alimentação diário', 'valor': 15}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}, {'codigo': 53, 'beneficio': 'Refeitório no local', 'valor': 0}, {'codigo': 46, 'beneficio': 'Vale transporte', 'valor': 0}, {'codigo': 59, 'beneficio': 'Ajuda de custo', 'valor': 0}]",Pesquisas de mercado e de opinião pública,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Goiás', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,,,"['Acompanhar a entrada e saída de documentos', 'Acompanhar a prospecção de novos clientes', 'Alimentar o banco de dados', 'Apoiar a área comercial', 'Atualizar planilhas de controle', 'Auxiliar na rotina administrativa', 'Auxiliar no atendimento a clientes', 'Realizar atendimento ao cliente por telefone', 'Auxiliar na prospecção de clientes']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,,GO,Goiânia,5208707
5809159,ESTAGIO,IP - INSTITUTO DE PODOLOGIA LTDA,,Ensino Médio,,800.0,1,Mensal,FIXO,,,,,,,[],Atividades de podologia,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Setor Sul', 'complemento': None, 'cep': None, 'cidade': 'Goiânia', 'uf': 'GO'}",A_COMBINAR,,,"['Auxiliar em atividades administrativas', 'Auxiliar no atendimento ao público', 'Fazer agendamento de clientes']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",EM,,GO,Goiânia,5208707
