codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5834727,ESTAGIO,P H R GOMES CONECTAR IMOVEIS,,Marketing,,700.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Bequimão', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",A_COMBINAR,,,"['Auxiliar na criação de conteúdos para as redes sociais', 'Elaborar texto para redes sociais', 'Realizar monitoramento de redes sociais']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,MA,São Luís,2111300
5834430,ESTAGIO,HABILI ENGENHARIA E CONSTRUCAO LTDA,,Administrativa,,600.0,1,Mensal,FIXO,,,,,,,[],Serviços de engenharia,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Renascença', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",DEFINIDO,13:00:00,18:00:00,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e elaborar relatórios sob demanda', 'Acompanhar o desenvolvimento dos planos de marketing', 'Alimentar e elaborar documentos, planilhas, apresentações e outros', 'Apoiar a equipe de marketing nos assuntos relacionados aos meios de comunicação']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",SU,,MA,São Luís,2111300
5831151,ESTAGIO,ARVORE DA VIDA,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Atividade odontológica,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Renascença', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",DEFINIDO,13:00:00,19:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar a prospecção de novos clientes', 'Acompanhar o atendimento ao cliente', 'Auxiliar no atendimento de clientes internos e externos']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",SU,,MA,São Luís,2111300
5831135,ESTAGIO,ARVORE DA VIDA,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Atividade odontológica,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Renascença', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",DEFINIDO,08:00:00,14:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar a prospecção dos clientes', 'Acompanhar o atendimento ao cliente', 'Apoiar no atendimento aos clientes internos e externos']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",SU,,MA,São Luís,2111300
5827821,ESTAGIO,AUTO RICO LTDA,,Marketing,,650.0,1,Mensal,FIXO,,,,,,,[],"Comércio a varejo de automóveis, camionetas e utilitários usados","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'CALHAU', 'complemento': None, 'cep': None, 'cidade': 'SÃO LUÍS', 'uf': 'MA'}",DEFINIDO,08:00:00,13:00:00,"['Acompanhamento de projetos', 'Acompanhamento e controle de demandas da área de negócios para o marketing', 'Acompanhar a criação, desenvolvimento, produção e divulgação das atividades de marketing', 'Acompanhar as atividades externas para producao de conteudo para redes sociais e websites', 'Acompanhamento e suporte na elaboração de fluxos de processos']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,MA,São Luís,2111300
5827502,ESTAGIO,NAVE CARGO LOGISTICA LTDA,,Comunicação,,800.0,1,Mensal,FIXO,,,,,,,[],"Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Tirirical', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",A_COMBINAR,13:00:00,19:00:00,"['Acessar as redes sociais da categoria', 'Acessar na redação e publicidade de conteúdo para fins em redes sociais', 'Acompanhamento de convidados nos estúdios', 'Acessar documentos diversos']","{'semestreInicio': 2, 'semestreFinal': 7, 'escolas': None}",SU,,MA,São Luís,2111300
5821022,ESTAGIO,MAGAZINE SAO LUCAS,,Marketing,,800.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 53, 'beneficio': 'Refeitório no local', 'valor': 0}]",Comércio varejista de móveis,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Monte Castelo', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",DEFINIDO,08:00:00,14:00:00,"['Acompanhamento de todas as ações que envolvam a imagem da empresa', 'Acompanhar a criação, desenvolvimento, produção e divulgação das atividades de marketing', 'Acompanhar in loco de produção audiovisual e pos-producao (desde edição ate finalização)', 'Acompanhar o desenvolvimento de campanhas e projetos', 'Acompanhar as atividades externas para producao de conteudo para redes sociais e websites']","{'semestreInicio': 2, 'semestreFinal': 7, 'escolas': None}",SU,,MA,São Luís,2111300
5818888,ESTAGIO,OFTALMO DAY CLINIC LTDA-EPP,,Saúde - TÉC.,,500.0,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Efigênia', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",DEFINIDO,07:00:00,13:00:00,"['Acompanhar o atendimento de pacientes', 'Apoiar na conferencia de medicação', 'Atender o cliente, fornecendo informações quanto ao uso correto, segundo as prescrições medicas']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",TE,,MA,São Luís,2111300
5814672,ESTAGIO,ALPHA STORE,,Administrativa,,550.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Cohama', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",DEFINIDO,15:00:00,20:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar nas divulgações', 'Acompanhar a criação de materiais para clientes', 'Analisar situação de clientes, divulgar e orientar sobre serviços e procedimentos']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",SU,,MA,São Luís,2111300
5814654,ESTAGIO,ALPHA STORE,,Administrativa,,550.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Cohama', 'complemento': None, 'cep': None, 'cidade': 'São Luís', 'uf': 'MA'}",DEFINIDO,09:00:00,15:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar nas divulgações', 'Acompanhar a prospecção de novos clientes', 'Analisar situação de clientes, divulgar e orientar sobre serviços e procedimentos']","{'semestreInicio': None, 'semestreFinal': None, 'escolas': None}",SU,,MA,São Luís,2111300
