codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5832258,ESTAGIO,LS MARKETING DIGITAL LTDA,,Administrativa,,1500.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de artigos do vestuário e acessórios,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Monte Líbano', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,09:00:00,16:00:00,"['Acompanhamento de resultado e desenvolvimento de orçamentos', 'Adaptar as métricas de desempenho da área', 'Avaliar estratégias competitivas das organizações']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,MS,Campo Grande,5002704
5828918,ESTAGIO,SERVCRED ASSESSORIA FINANCEIRA,,Ensino Médio,,700.0,1,Mensal,FIXO,,,,,,,[],Atividades de cobranças e informações cadastrais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,08:00:00,15:00:00,"['Acompanhamento de contas a pagar e receber', 'Acompanhar a elaboração de relatórios', 'Acompanhar o atendimento ao cliente']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",EM,,MS,Campo Grande,5002704
5825232,ESTAGIO,LOG ENGENHARIA LTDA,,Construção Civil,,1200.0,1,Mensal,FIXO,,,,,,,[],"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Vila Antônio Vendas', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,07:30:00,15:30:00,"['Acessar na elaboração de projetos', 'Acompanhar e preparar ordens de serviços', 'Conduzir o acompanhamento de processos de Obra Civil em controles Excel', 'Elaborar layout em autoCAD', 'Auxiliar na conferência de projetos']","{'semestreInicio': 6, 'semestreFinal': 9, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14591857/Log Eng.png,MS,Campo Grande,5002704
5818684,ESTAGIO,D - TOTAL BODY CARE SERVICOS MEDICOS LTDA,,Enfermagem,,1350.0,1,Mensal,FIXO,,,,,,,[],Atividades de práticas integrativas e complementares em saúde humana,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim dos Estados', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,08:00:00,13:00:00,"['Acompanhar a analise de resultados dos exames', 'Acompanhar na coleta de material para analise', 'Acompanhar procedimentos laboratoriais', 'Auxiliar na manipulação de medicamentos', 'Auxiliar na realização de punção venosa e assistir aos doadores durante a coleta de sangue', 'Auxiliar na separação de materiais para realização de exames', 'Auxiliar nas atividades de rotina do setor conforme escala', 'Fazer controle de materiais e medicamentos', 'Preparar os pacientes para a realização do exame', 'Auxiliar na etiquetagem das amostras biológicas com respectivos exames (tubo soro, tubo EDTA, tubo citrato )']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,MS,Campo Grande,5002704
5818390,ESTAGIO,MS COMERCIO DE ARTIGOS ESPORTIVOS LTDA,,Ensino Médio,,1000.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de artigos esportivos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,12:00:00,18:00:00,"['Auxiliar no atendimento ao público', 'Auxiliar no controle de estoques', 'Auxiliar o cadastro de produtos em estoque', 'Organizar e repor material de apoio e estoque', 'Auxiliar no atendimento telefônico e ao público (balcão físico)']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",EM,,MS,Campo Grande,5002704
5817342,ESTAGIO,Conselho Regional de Educação Física da 11a Região – CREF11/MS,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],Atividades de fiscalização profissional,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,07:30:00,11:30:00,"['Acessar a internet', 'Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar a entrada e saída de documentos']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13432938/logo-cref.svg,MS,Campo Grande,5002704
5815863,ESTAGIO,BLACK IMOVEIS,,Administrativa,,1518.0,1,Mensal,FIXO,,,,,,,[],Gestão e administração da propriedade imobiliária,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Chácara Cachoeira', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,09:00:00,17:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar o atendimento ao cliente', 'Auxiliar em rotinas diversas da área']","{'semestreInicio': 3, 'semestreFinal': 10, 'escolas': None}",SU,,MS,Campo Grande,5002704
5806142,ESTAGIO,FPB OFTALMOLOGISTAS ASSOCIADOS SS,,Marketing,,800.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial com recursos para realização de exames complementares,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,07:30:00,13:30:00,"['Acessar pesquisas de satisfação da equipe', 'Analisar sistema de controle da produção', 'Acessar nas entregas de conteudo para Facebook']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,MS,Campo Grande,5002704
5766591,ESTAGIO,F GIBRAN CORRETORA DE IMOVEIS,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Corretagem na compra e venda e avaliação de imóveis,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Fé', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,08:00:00,12:00:00,"['Acessar arquivos diversos', 'Acompanhar o atendimento ao cliente', 'Ajudar no atendimento de telefone e de público', 'Analisar e desenvolver relatórios', 'Alimentar planilhas']","{'semestreInicio': 2, 'semestreFinal': 8, 'escolas': None}",SU,,MS,Campo Grande,5002704
5750310,ESTAGIO,PLENITUDE LAR PARA IDOSOS E ACAMADOS,,Enfermagem,,1000.0,1,Mensal,FIXO,,,,,,,[],Instituições de longa permanência para idosos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Vila Bandeirante', 'complemento': None, 'cep': None, 'cidade': 'Campo Grande', 'uf': 'MS'}",DEFINIDO,07:00:00,13:00:00,"['Acompanhar a analise de resultados dos exames', 'Auxiliar na separação de materiais para realização de exames', 'Auxiliar no registro de exames de pronto atendimento', 'Conduzir pacientes para realização de exames']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,MS,Campo Grande,5002704
