codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5836979,ESTAGIO,RTA ENGENHEIROS CONSULTORES LTDA,,Administrativa,,1518.0,1,Mensal,FIXO,,,,,,,[],Serviços de engenharia,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Boa Esperança', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",A_COMBINAR,,,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhamento supervisionado na preparação, organização, analise e arquivamento de documentos e correspondências diversas', 'Acompanhar a entrada e saída de documentos']","{'semestreInicio': 2, 'semestreFinal': 4, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14639123/rtaengenheiroo.png,MT,Cuiabá,5103403
5832370,ESTAGIO,SOLUTIONS CORP,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],Construção de edifícios,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Boa Esperança', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",DEFINIDO,07:30:00,11:30:00,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância', 'Auxiliar na rotina administrativa']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,MT,Cuiabá,5103403
5832354,ESTAGIO,GEOCONSULT GEOLOGIA MINERACAO E SERVICOS AMBIENTAIS,,Geomática,,900.0,1,Mensal,FIXO,,,,,,,[],Outras atividades de prestação de serviços de informação não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Aclimação', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",A_COMBINAR,,,"['Auxiliar nas atividades de geoprocessamento, com serviços de rasterização e vetorização de imagens radar', 'Auxiliar no acompanhamento de projetos']","{'semestreInicio': 6, 'semestreFinal': 9, 'escolas': None}",SU,,MT,Cuiabá,5103403
5832348,ESTAGIO,SOLUTIONS CORP,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],Construção de edifícios,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Boa Esperança', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",DEFINIDO,07:30:00,11:30:00,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar a entrada e saída de documentos', 'Auxiliar na rotina administrativa']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,MT,Cuiabá,5103403
5832280,ESTAGIO,ILUMINACAO DIFERENTE,,Administrativa,,1300.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de material elétrico,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Popular', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",DEFINIDO,12:00:00,18:00:00,"['Acompanhamento de projetos', 'Acompanhamento e pagamento de notas fiscais e acompanhamento orçamentário', 'Auxiliar no atendimento telefônico e ao publico']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,MT,Cuiabá,5103403
5829136,ESTAGIO,QUICKER SERVICOS E INSTALACOES,,Informática,,,1,Mensal,A_COMBINAR,,,880.0,1100.0,,,[],Provedores de acesso às redes de comunicações,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Alvorada', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",A_COMBINAR,,,"['Auxiliar no atendimento ao cliente', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar na digitação de documentos']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,MT,Cuiabá,5103403
5828560,ESTAGIO,JP ALMEIDA LTDA,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Paulista', 'complemento': None, 'cep': None, 'cidade': 'CUIABÁ', 'uf': 'MT'}",DEFINIDO,07:00:00,13:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhamento do atendimento ao telefone', 'Acompanhar o atendimento ao cliente']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,MT,Cuiabá,5103403
5824107,ESTAGIO,COMERCIAL DIAS LTDA,,Ensino Médio,,700.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista especializado de equipamentos e suprimentos de informática,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Pico do Amor', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",DEFINIDO,13:00:00,18:00:00,"['Acompanhar o atendimento ao cliente', 'Ajudar na conferencia e preparação de documentos a serem processados', 'Auxiliar em atividades administrativas', 'Auxiliar na confecção de arquivos (documentos, planilhas, avisos, etc.) do setor']","{'semestreInicio': 2, 'semestreFinal': 3, 'escolas': None}",EM,,MT,Cuiabá,5103403
5823234,ESTAGIO,GERENCIA EXECUTIVA CUIABA,,Administrativa,,1125.69,1,Mensal,FIXO,,,,,,,[],Seguridade social obrigatória,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro-Norte', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",DEFINIDO,11:00:00,17:00:00,"['Acompanhar processos administrativos', 'Acompanhamento de processos no sistema SEI', 'Acompanhamento dos atendimentos']","{'semestreInicio': 1, 'semestreFinal': 10, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13479102/INSS.png,MT,Cuiabá,5103403
5820214,ESTAGIO,PHD PUBLICIDADE EVENTOS EIRELI ME,,Ensino Médio,,,1,Mensal,A_COMBINAR,,,800.0,800.0,,,[],"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santa Rosa', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",A_COMBINAR,,,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar dados e atender solicitações realizadas pelos clientes direcionando-as para os departamentos competentes', 'Acompanhamento de contas a pagar e receber', 'Analisar , conferir e arquivar documentos, formulários, impressos ou relatórios diversos', 'Auxiliar em atividades administrativas', 'Auxiliar nas rotinas administrativas em geral']","{'semestreInicio': 1, 'semestreFinal': 4, 'escolas': None}",EM,,MT,Cuiabá,5103403
5817832,ESTAGIO,MEGA MODAS,,Administrativa,,1000.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 200}]",Comércio varejista de artigos do vestuário e acessórios,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro-Norte', 'complemento': None, 'cep': None, 'cidade': 'Cuiabá', 'uf': 'MT'}",DEFINIDO,13:00:00,19:00:00,"['Acompanhar prazos processuais', 'Acompanhar a entrada e saída de documentos', 'Alimentar o banco de dados', 'Auxiliar na rotina administrativa']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14261478/megamodas.png,MT,Cuiabá,5103403
