codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5834943,ESTAGIO,PROCURADORIA GERAL DO ESTADO DO PARA,,Informática,,568.15,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Batista Campos', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,09:00:00,13:00:00,"['Acessar sistemas internos', 'Acompanhamento da gestão de ferramenta e fluxos e processos', 'Acompanhamento de fluxo de trabalho', 'Acompanhamento de processos internos', 'Acompanhamento no suporte aos usuários da área de TI', 'Acompanhamento às áreas de Suporte']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,,PA,Belém,1501402
5834861,ESTAGIO,SEASTER,,Administrativa,,568.15,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Nazaré', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,13:00:00,17:00:00,"['Acessar arquivos diversos e elaborar relatórios sob demanda', 'Acessar sistemas internos', 'Acompanhamento de processos internos']","{'semestreInicio': 2, 'semestreFinal': 6, 'escolas': None}",SU,,PA,Belém,1501402
5833985,ESTAGIO,SD AGÊNCIA DE VIAGENS LTDA,,Marketing,,759.0,1,Mensal,FIXO,,,,,,,[],Agências de viagens,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Umarizal', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,14:00:00,18:00:00,"['Acompanhamento e controle de demandas da área de negócios para o marketing', 'Acompanhar a elaboração de Planos de conteúdo', 'Acompanhar a entrada e saída de documentos']","{'semestreInicio': 4, 'semestreFinal': 10, 'escolas': None}",SU,,PA,Belém,1501402
5819990,ESTAGIO,FUNDACAO SANTA CASA DE MISERICORDIA DO PARA FSCMPA,,Administrativa,,568.15,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Umarizal', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,08:00:00,12:00:00,"['Acompanhar agenda de atividades da área / supervisor', 'Auxiliar na elaboração de documentos diversos', 'Auxiliar na digitacao de documentos em geral']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,PA,Belém,1501402
5816004,ESTAGIO,V R COMERCIO E SERVICOS EM INFORMATICA LTDA-ME,,Informática,,800.0,1,Mensal,FIXO,,,,,,,[],Reparação e manutenção de computadores e de equipamentos periféricos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Marambaia', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,09:00:00,14:00:00,"['Suporte em Sistema em TI', 'Instalação do Sistema em TI', 'Treinamento do Sistema em TI']","{'semestreInicio': 1, 'semestreFinal': 12, 'escolas': None}",SU,,PA,Belém,1501402
5808076,ESTAGIO,CENTRO OESTE EQUIPAMENTOS E SERVICOS,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista especializado de equipamentos e suprimentos de informática,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Umarizal', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,08:00:00,14:00:00,"['Acessar arquivos diversos', 'Acompanhamento do atendimento ao telefone', 'Acompanhar a entrada e saída de documentos']","{'semestreInicio': 5, 'semestreFinal': 12, 'escolas': None}",SU,,PA,Belém,1501402
5802828,ESTAGIO,Confidencial,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial restrita a consultas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'São Brás', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",A_COMBINAR,07:00:00,13:00:00,['Acompanhamento do atendimento ao telefone'],"{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,PA,Belém,1501402
5792834,ESTAGIO,FUNDACAO SANTA CASA DE MISERICORDIA DO PARA FSCMPA,,Educação,,568.15,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Umarizal', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,08:00:00,12:00:00,"['ATENDIMENTO AO PUBLICO ESPECIFICO', 'ACOMPANHAR O FLUXO ADMINISTRATIVO DA DIRETORIA (DEPE)', 'ACOMPANHAR E PARTICIPAR DOS PROJETOS DE EXTENSÃO DA DEPE']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,PA,Belém,1501402
5792734,ESTAGIO,FUNDACAO SANTA CASA DE MISERICORDIA DO PARA FSCMPA,,Nutrição,,568.15,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Umarizal', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,08:00:00,12:00:00,"['Atuar na gestão de projetos, Auxiliando no planejamento de cardápios e gestão da qualidade', 'Atuar no que se refere, na experiência do paciente e educação continuada', 'Acompanhamento de produção de refeição; Observar qualidade dos gêneros recebidos; Acompanhar distribuição.', 'Atuar em conjunto com a nutricionista no planejamento e supervisão']","{'semestreInicio': 4, 'semestreFinal': 7, 'escolas': None}",SU,,PA,Belém,1501402
5782155,ESTAGIO,PANIFICADORA UIRAPURU,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],Padaria e confeitaria com predominância de revenda,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Parque Verde', 'complemento': None, 'cep': None, 'cidade': 'Belém', 'uf': 'PA'}",DEFINIDO,14:00:00,20:00:00,"['Acompanhamento supervisionado de relatórios da área administrativa', 'Acompanhar a elaboração de planilha eletrônica para tratamento de dados', 'Calcular despesas administrativas']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,PA,Belém,1501402
