codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5837606,ESTAGIO,ESCOB - ESCRITORIO DE CONTABILIDADE BRASIL,,Contabilidade,,700.0,1,Mensal,FIXO,,,,,,,[],Atividades de contabilidade,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Mangabeira', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,13:00:00,19:00:00,"['Acessar sistemas internos', 'Analisar diariamente os documentos contabeis', 'Realizar os lancamentos contabeis', 'Auxiliar no atendimento ao público;', 'Auxiliar nos processos e rotinas administrativas']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,,PB,João Pessoa,2507507
5837225,ESTAGIO,VILLA VOGUE,,Administrativa - TÉC.,,750.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de artigos do vestuário e acessórios,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Estados', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,09:00:00,14:00:00,"['Acompanhamento supervisionado de relatórios da área administrativa', 'Analisar fluxo de papeis no setor de cobrança', 'Analisar métodos e instrumentos de propagação de atos processuais por meios convencionais e eletrônicos', 'Analisar os principais aspectos dos poderes legislativo, executivo e judiciário no Brasil, tendo em vista as atribuições das câmaras municipais', 'Analisar processos legislativos, contratos e fiscalizações orçamentarias', 'Auxiliar no atendimento ao público']","{'semestreInicio': 1, 'semestreFinal': 9, 'escolas': None}",TE,,PB,João Pessoa,2507507
5837079,ESTAGIO,JAN-PRO JOAO PESSOA,,Administrativa,,850.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Manaíra', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,08:00:00,12:00:00,"['Auxiliar na triagem e conferencia de documentação', 'Auxiliar no atendimento ao público', 'Acompanhar os relatorios do departamento']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,PB,João Pessoa,2507507
5835256,ESTAGIO,BARNABE COMERCIO DE ALIMENTOS LTDA,,Administrativa,,759.0,1,Mensal,FIXO,,,,,,,[],Fabricação de massas alimentícias,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Cruz das Armas', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,08:00:00,15:00:00,"['Lançamento de nota fiscal,', 'Gerar conteúdo de mídia', 'Alimentação de sistemas, Relatórios.']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,PB,João Pessoa,2507507
5833188,ESTAGIO,CIA - CENTRAL DE INTELIGENCIA ARTIFICIAL,,Administrativa,,,1,Mensal,A_COMBINAR,,,700.0,1000.0,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Manaíra', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,06:40:00,11:40:00,"['Acompanhar o supervisor em tarefas administrativas', 'Acompanhar via telefone a entrega de materiais', 'Ajudar a controlar materiais de estoque', 'Analisar , conferir e atualizar documentos', 'Auxiliar a criação de materiais para projetos das áreas', 'Apoiar em processos de cadastros', 'Auxiliar no monitoramento']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,PB,João Pessoa,2507507
5831581,ESTAGIO,CLINICA SANTA MADRA LTDA,,Saúde - TÉC.,,700.0,4,Mensal,FIXO,,,,,,,"[{'codigo': 56, 'beneficio': 'Possibilidade prorrogação', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]","Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Expedicionários', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,07:00:00,13:00:00,"['Acompanhamento supervisionado no atendimento ao cliente', 'Acompanhar a analise de resultados dos exames', 'Acompanhar a elaboração de salas de serviços', 'Acompanhar a execução de analises de controle de qualidade dos medicamentos', 'Acompanhar a realização de exames de diagnostico', 'Acompanhar o atendimento de pacientes', 'Ajudar na organização de arquivos', 'Ajudar na triagem e agendamento de consultas e exames', 'Auxiliar DA RECEPÇÃO DOS PACIENTES']","{'semestreInicio': 2, 'semestreFinal': 4, 'escolas': None}",TE,,PB,João Pessoa,2507507
5830191,ESTAGIO,MONARCI IMÓVEIS ,,Administrativa,,900.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Manaíra', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,13:00:00,18:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar na execução das atividades internas das agencias, apoiando nas rotinas administrativas e comerciais, elaborando documentos, relatórios, planilhas e formulários diversos', 'Auxiliar na operação com rotinas dos sistemas informatizados internos ao processo']","{'semestreInicio': 1, 'semestreFinal': 12, 'escolas': None}",SU,,PB,João Pessoa,2507507
5821981,ESTAGIO,AUTO GIRO DISTRIBUICAO,,Administrativa,,1000.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 11003, 'beneficio': 'Vale alimentação diário', 'valor': 12}]",Comércio por atacado de peças e acessórios novos para veículos automotores,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Torre', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,09:01:00,16:01:00,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância']","{'semestreInicio': 2, 'semestreFinal': 7, 'escolas': None}",SU,,PB,João Pessoa,2507507
5817629,ESTAGIO,57.041.924 LUZEMILCA DOS SANTOS SILVA,,Administrativa,,500.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Estados', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,15:00:00,20:00:00,"['Acessar a internet', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar no atendimento ao público']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,,PB,João Pessoa,2507507
5817280,ESTAGIO,EGLY MARINHEIRO DE MORAIS LTDA,,Administrativa - TÉC.,,600.0,1,Mensal,FIXO,,,,,,,[],Atividades veterinárias,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Manaíra', 'complemento': None, 'cep': None, 'cidade': 'João Pessoa', 'uf': 'PB'}",DEFINIDO,08:00:00,14:00:00,"['Ajudar no atendimento de telefone e de público', 'Auxiliar no atendimento ao público', 'Alimentar planilhas e arquivar documentos']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",TE,,PB,João Pessoa,2507507
