codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5837963,ESTAGIO,ASSESSORIA TECNICA ATENE SS LTDA,,Administrativa,,1236.0,3,Mensal,FIXO,,,,,,,"[{'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}, {'codigo': 55, 'beneficio': 'Assistência odontológica', 'valor': 0}]","Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Atualizar sistemas de controles de processos', 'Elaborar planilhas e controles', 'Organizar arquivos', 'Participar de treinamentos diversos', 'Preencher formulários que fazem partes do processo operacional da área']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837958,ESTAGIO,PRIMEIRA IGREJA BATISTA DO RECREIO DOS BANDEIRANTES,,Design,,1138.5,1,Mensal,FIXO,,,,,,,[],Atividades de organizações religiosas ou filosóficas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Recreio dos Bandeirantes', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,13:00:00,19:00:00,"['Auxiliar a montagem de apresentações', 'Elaborar material gráfico com recursos da computação', 'Auxiliar na producao de conteudo para redes sociais']","{'semestreInicio': 1, 'semestreFinal': 4, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837814,ESTAGIO,TOTAL SOLUCOES PREDIAIS LTDA,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Barra da Tijuca', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Auxiliar na elaboração de relatórios', 'Auxiliar na rotina administrativa', 'Auxiliar no controle de planilhas']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837490,ESTAGIO,LOTUS MEDICINA DA DOR,,Administrativa - TÉC.,,900.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}, {'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Barra da Tijuca', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,08:00:00,12:00:00,"['Acompanhamento supervisionado de relatórios da área administrativa', 'Analisar situação de clientes e orienta-los sobre serviços e procedimentos', 'Auxiliar nas atividades administrativas do setor']","{'semestreInicio': 1, 'semestreFinal': 17, 'escolas': None}",TE,,RJ,Rio de Janeiro,3304557
5837488,ESTAGIO,FINANCIADORA DE ESTUDOS E PROJETOS - FINEP,,Arquitetura e Urbanismo,,1325.92,2,Mensal,FIXO,,,,,,,"[{'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 730.42}]",Outras atividades de serviços financeiros não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Flamengo', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Auxiliar na elaboração de diagnósticos e proposta de organização de documentos dos arquivos setoriais', 'Participar no desenvolvimento de planilhas e projetos', 'Acompanhar na elaboraco de planilhas e orcamentos']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14256824/Design sem nome (1).svg,RJ,Rio de Janeiro,3304557
5837448,ESTAGIO,INTCOM,,Informática,,1000.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}, {'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santo Cristo', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,09:00:00,16:00:00,"['Acompanhamento de testes e programas', 'Acompanhamento supervisionado de instalação de software', 'Acompanhamento supervisionado de testes de programas']","{'semestreInicio': 1, 'semestreFinal': 17, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837439,ESTAGIO,FINANCIADORA DE ESTUDOS E PROJETOS - FINEP,,Contabilidade,,1325.92,2,Mensal,FIXO,,,,,,,"[{'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 730.42}]",Outras atividades de serviços financeiros não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Flamengo', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Acompanhamento na consolidação de dados para elaboração de indicadores', 'Apoiar a constante atualização dos sistemas de organização de atividades']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14256824/Design sem nome (1).svg,RJ,Rio de Janeiro,3304557
5837433,ESTAGIO,NUCLEO DE DESENVOLVIMENTO COLORIDO LTDA,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Freguesia (Jacarepaguá)', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Auxiliar na organização de documentos', 'Auxiliar na rotina administrativa', 'Auxiliar no controle de planilhas']","{'semestreInicio': 2, 'semestreFinal': 5, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837356,ESTAGIO,INTCOM,,Informática,,1000.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 48, 'beneficio': 'Ambulatório médico', 'valor': 0}, {'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santo Cristo', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,09:00:00,16:00:00,"['Apoiar no atendimento e suporte ao Desenvolvimento', 'Auxiliar na atualização dos canais de atendimento', 'Acompanhamento nos atendimentos de suporte de produto.']","{'semestreInicio': 1, 'semestreFinal': 17, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837278,ESTAGIO,LIDERE EDUCACAO,,Administrativa,,1000.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}, {'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância']","{'semestreInicio': 1, 'semestreFinal': 17, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837184,ESTAGIO,META CONSULTAS,,Marketing,,1500.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}, {'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Recreio dos Bandeirantes', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,11:00:00,17:00:00,"['Auxiliar na execução de mídia', 'Auxiliar no suporte a área de marketing', 'Fazer pesquisas na Internet']","{'semestreInicio': 1, 'semestreFinal': 17, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837166,ESTAGIO,MULTIPAGAMENTOS S.A.,,Administrativa,,1800.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 55, 'beneficio': 'Assistência odontológica', 'valor': 0}, {'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Saúde', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância']","{'semestreInicio': 3, 'semestreFinal': 18, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837130,ESTAGIO,FISIOCENTER LTDA,,Administrativa,,700.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Magalhães Bastos', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,08:00:00,12:00:00,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância']","{'semestreInicio': 1, 'semestreFinal': 17, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5837098,ESTAGIO,CLINICA DE OLHOS BEC,,Administrativa,,900.0,1,Mensal,FIXO,,,,,,,[],Atividade médica ambulatorial com recursos para realização de exames complementares,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Barra da Tijuca', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,10:00:00,16:00:00,"['Auxiliar no atendimento a clientes', 'Auxiliar na gestao e organizacao de materiais', 'Auxiliar no controle de estoque']","{'semestreInicio': 2, 'semestreFinal': 5, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5836980,ESTAGIO,AGENCIA PURO LTDA,,Marketing,,600.0,1,Mensal,FIXO,,,,,,,[],Consultoria em publicidade,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,13:00:00,17:00:00,"['Auxiliar no contato com empresas e clientes', 'Auxiliar no desenvolvimento de conteúdo para redes sociais', 'Realizar o auxilio no processo de tratativas e correcoes de cadastro de produtos']","{'semestreInicio': 3, 'semestreFinal': 5, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5836867,ESTAGIO,CAMILLY DE CASSIA SETTER SANCHES,,Ensino Médio,,700.0,5,Mensal,FIXO,,,,,,,"[{'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}, {'codigo': 49, 'beneficio': 'Convênio com farmácia', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Atividades de estética e outros serviços de cuidados com a beleza,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Benfica', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,12:00:00,17:00:00,"['Acessar a internet', 'Auxiliar na elaboração de documentos, relatórios, planilhas e formulários', 'Auxiliar nas rotinas administrativas em geral']","{'semestreInicio': 1, 'semestreFinal': 10, 'escolas': None}",EM,,RJ,Rio de Janeiro,3304557
5836347,ESTAGIO,OVARMAT,,Marketing,,1200.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Freguesia (Jacarepaguá)', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,09:00:00,15:00:00,"['Auxiliar a criação de conteúdo para sites e comunicação da empresa', 'Auxiliar no desenvolvimento de ações, lançamento e divulgação de produtos', 'Auxiliar no suporte a área de marketing']","{'semestreInicio': 1, 'semestreFinal': 3, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5836066,ESTAGIO,DATAPREV,,Engenharia de Produção,,1575.6,3,Mensal,FIXO,,,,,,,"[{'codigo': 58, 'beneficio': 'Vale alimentação', 'valor': 645.6}, {'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 645.6}]","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Cosme Velho', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,['Acompanhamento de projetos'],"{'semestreInicio': 4, 'semestreFinal': 6, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14480736/marcadataprev_topo.png,RJ,Rio de Janeiro,3304557
5835329,ESTAGIO,RIO DE JANEIRO 7 CIRCUN REG CIVIL PES NAT E TABELIONATO,,Administrativa,,1000.0,4,Mensal,FIXO,,,,,,,"[{'codigo': 47, 'beneficio': 'Assistência médica', 'valor': 0}, {'codigo': 57, 'beneficio': 'Possibilidade efetivação', 'valor': 0}, {'codigo': 65, 'beneficio': 'Recesso Remunerado', 'valor': 0}]",Promoção de vendas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Estácio', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",DEFINIDO,09:00:00,16:00:00,"['Acessar arquivos diversos', 'Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância']","{'semestreInicio': 2, 'semestreFinal': 17, 'escolas': None}",SU,,RJ,Rio de Janeiro,3304557
5835040,ESTAGIO,DATAPREV,,Informática,,1575.6,2,Mensal,FIXO,,,,,,,"[{'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 645.6}]","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Cosme Velho', 'complemento': None, 'cep': None, 'cidade': 'Rio de Janeiro', 'uf': 'RJ'}",A_COMBINAR,,,"['Apoiar na preparação de textos, planilhas, apresentações, organização, conferência e análise de documentos, planos, manuais, relatórios e correspondências diversas sobre os temas correlatos à área', 'Apoiar na confecção de relatórios técnicos e gerenciais', 'Auxiliar no andamento das reuniões com áreas técnicas', 'Contribuir em reuniões de planejamento e revisão de projetos', 'Participar na construção de manuais e processos relacionados a processos de dados']","{'semestreInicio': 4, 'semestreFinal': 6, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14480736/marcadataprev_topo.png,RJ,Rio de Janeiro,3304557
