codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5837841,ESTAGIO,MULTCAR,,Administrativa,,750.0,1,Mensal,FIXO,,,,,,,[],Serviços de manutenção e reparação mecânica de veículos automotores,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Ribeira', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,07:30:00,12:30:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos e carrega-los com informações solicitadas', 'Acessar sistemas da seguradora', 'Acompanhar a entrada e saída de documentos', 'Auxiliar nas atividades administrativas do setor']","{'semestreInicio': 2, 'semestreFinal': 8, 'escolas': None}",SU,,RN,Natal,2408102
5837800,ESTAGIO,MULTCAR,,Administrativa - TÉC.,,750.0,1,Mensal,FIXO,,,,,,,[],Serviços de manutenção e reparação mecânica de veículos automotores,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Ribeira', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,07:30:00,12:30:00,"['Acessar a internet', 'Auxiliar na conferencia de documentos e relatórios', 'Auxiliar nas atividades administrativas do setor', 'Auxiliar no acompanhamento dos pedidos no sistema', 'Realizar lançamentos de dados no sistema e em planilhas']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",TE,,RN,Natal,2408102
5836718,ESTAGIO,REDETEL SOLUCOES AUTOMATIZADAS PARA CONDOMINIOS LTDA,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Capim Macio', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",A_COMBINAR,,,"['Atualizar e alimentar o sistema', 'Assessorar nas atividades administrativas, tais como CRM, informacoes de mercado, relatorios mensais e triagem das mensagens recebidas no canal Fale Conosco', 'Conduzir o auxilio no controle de leads gerados nas atividades entre outras atividades pertinentes ao cargo', 'Verificar e responder as solicitações dos clientes via telefone, e-mail e whatsapp']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,RN,Natal,2408102
5836094,ESTAGIO, ASSOCIACAO ATLETICA BANCO DO BRASIL,,Esportes,,900.0,1,Mensal,FIXO,,,,,,,[],"Clubes sociais, esportivos e similares","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Tirol', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,17:00:00,22:00:00,"['Acompanhamento de projetos', 'Acompanhar a execução de tarefas sob a orientação do profissional', 'Acompanhar e elaborar planejamento nas atividades esportivas sócio educacional']","{'semestreInicio': 4, 'semestreFinal': 6, 'escolas': None}",SU,,RN,Natal,2408102
5836093,ESTAGIO, ASSOCIACAO ATLETICA BANCO DO BRASIL,,Esportes,,900.0,1,Mensal,FIXO,,,,,,,[],"Clubes sociais, esportivos e similares","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Tirol', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,13:00:00,18:00:00,"['Acompanhamento de projetos', 'Acompanhar a execução de tarefas sob a orientação do profissional', 'Acompanhar e elaborar planejamento nas atividades esportivas sócio educacional']","{'semestreInicio': 4, 'semestreFinal': 6, 'escolas': None}",SU,,RN,Natal,2408102
5836052,ESTAGIO, ASSOCIACAO ATLETICA BANCO DO BRASIL,,Esportes,,900.0,1,Mensal,FIXO,,,,,,,[],"Clubes sociais, esportivos e similares","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Tirol', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,06:00:00,11:00:00,"['Acompanhar a execução de tarefas sob a orientação do profissional', 'Acompanhar e elaborar planejamento nas atividades esportivas sócio educacional', 'Acompanhar treinamentos']","{'semestreInicio': 4, 'semestreFinal': 6, 'escolas': None}",SU,,RN,Natal,2408102
5836027,ESTAGIO,DENTALMED COMERCIO E REPRESENTACOES LTDA,,Administrativa - TÉC.,,650.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista de artigos médicos e ortopédicos,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Lagoa Nova', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,08:00:00,13:00:00,"['Auxiliar a separação de produtos e pedidos', 'Conferir entregas ou despachos de materiais e mercadorias', 'Fornecer informações sobre os produtos']","{'semestreInicio': 1, 'semestreFinal': 4, 'escolas': None}",TE,,RN,Natal,2408102
5835930,ESTAGIO,IDEST,,Arquitetura e Urbanismo,,800.0,1,Mensal,FIXO,,,,,,,[],Outras atividades de ensino não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Barro Vermelho', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",A_COMBINAR,,,"['Acompanhar a elaboração de projetos arquitetônicos', 'Auxiliar na elaboração de mapas referente aos processos de regularização fundiária', 'Auxiliar na elaboração de mapeamento georeferenciado de áreas e locais, na produção de desenhos técnicos e projetos técnicos, mediante a utilização da ferramenta autoCAD']","{'semestreInicio': 6, 'semestreFinal': 8, 'escolas': None}",SU,,RN,Natal,2408102
5834464,ESTAGIO,Confidencial,,Administrativa - TÉC.,,650.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Petrópolis', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,13:00:00,18:00:00,"['Organização de arquivos e documentos, Atualização de Planilhas Simples', 'Processamentos de documentos, preenchimento de contratos e outros etc.', 'Atendimento telefônico e envio de documentos.']","{'semestreInicio': 1, 'semestreFinal': 2, 'escolas': None}",TE,,RN,Natal,2408102
5833221,ESTAGIO,VERTICE,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Candelária', 'complemento': None, 'cep': None, 'cidade': 'Natal', 'uf': 'RN'}",DEFINIDO,08:00:00,14:00:00,"['Acompanhar o atendimento ao cliente', 'Atender e realizar ligações telefônicas direcionadas a área', 'Auxiliar nas rotinas administrativas']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,RN,Natal,2408102
