codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5832432,ESTAGIO,STUDIO WAVE TREINAMENTO FUNCIONAL LTDA,,Esportes,,500.0,1,Mensal,FIXO,,,,,,,[],Atividades de condicionamento físico,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Atalaia', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",DEFINIDO,15:00:00,20:00:00,"['Acompanhamento de projetos', 'Acompanhar a execução de tarefas sob a orientação do profissional', 'Acompanhar atividades físicas desportivas programadas e desenvolvidas']","{'semestreInicio': 4, 'semestreFinal': 7, 'escolas': None}",SU,,SE,Aracaju,2800308
5832416,ESTAGIO,STUDIO WAVE TREINAMENTO FUNCIONAL LTDA,,Esportes,,500.0,1,Mensal,FIXO,,,,,,,[],Atividades de condicionamento físico,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Atalaia', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",DEFINIDO,06:00:00,11:00:00,"['Acompanhamento de projetos', 'Acompanhar a execução de tarefas sob a orientação do profissional', 'Acompanhar atividades físicas desportivas programadas e desenvolvidas']","{'semestreInicio': 4, 'semestreFinal': 7, 'escolas': None}",SU,,SE,Aracaju,2800308
5831253,ESTAGIO,UNIPLAN,,Administrativa,,800.0,1,Mensal,FIXO,,,,,,,[],Educação superior - graduação,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Suíssa', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",A_COMBINAR,,,"['Acessar arquivos diversos', 'Apoiar no atendimento aos alunos e professores', 'Apoiar na matricula e rematrícula']","{'semestreInicio': 1, 'semestreFinal': 17, 'escolas': None}",SU,,SE,Aracaju,2800308
5830976,ESTAGIO,IVETE & FILHA ADMINISTRACAO ASSESSORIA E CORRETAGEM DE SEGUROS EIRELI,,Administrativa,,,1,Mensal,A_COMBINAR,,,500.0,900.0,,,[],"Corretores e agentes de seguros, de planos de previdência complementar e de saúde","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Luzia', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",DEFINIDO,08:00:00,13:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Auxiliar na rotina administrativa', 'Executar a conferencia e organização de documentos', 'Expedir documentos administrativos']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,SE,Aracaju,2800308
5829525,ESTAGIO,INOVAL,,Nutrição,,700.0,1,Mensal,FIXO,,,,,,,[],"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Salgado Filho', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",DEFINIDO,08:00:00,15:00:00,"['Acompanhar a rotina diária do controle de qualidade de alimentos', 'Acompanhar a elaboracao e a execucao de protocolos tecnicos do servico, de acordo com as legislacoes vigentes', 'Acompanhamento de elaboração de cardápios']","{'semestreInicio': 6, 'semestreFinal': 8, 'escolas': None}",SU,,SE,Aracaju,2800308
5828579,ESTAGIO,CARDOSO AUTO PECAS,,Administrativa - TÉC.,,800.0,1,Mensal,FIXO,,,,,,,[],Comércio a varejo de peças e acessórios novos para veículos automotores,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Siqueira Campos', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",DEFINIDO,08:00:00,15:00:00,"['Acessar o psicólogo responsável no planejamento e na organização de treinamentos', 'Acompanhamento supervisionado de relatórios da área administrativa', 'Auxiliar nos procedimentos administrativos do setor']","{'semestreInicio': 2, 'semestreFinal': 10, 'escolas': None}",TE,,SE,Aracaju,2800308
5827238,ESTAGIO,ACESSO VEICULOS LTDA,,Administrativa - TÉC.,,700.0,1,Mensal,FIXO,,,,,,,[],Comércio sob consignação de veículos automotores,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santo Antônio', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",DEFINIDO,13:00:00,17:30:00,"['Ajudar no atendimento de telefone e de público', 'Colaborar no departamento financeiro', 'Fazer conciliação de contas bancarias ou outras']","{'semestreInicio': 1, 'semestreFinal': 3, 'escolas': None}",TE,,SE,Aracaju,2800308
5826877,ESTAGIO,INSTITUTO DE OLHOS DE SERGIPE LTDA,,Saúde - TÉC.,,700.0,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'São José', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",A_COMBINAR,,,"['Auxiliar e atender pacientes que irão realizar os exames', 'Auxiliar e marcar exames', 'Agendar consultas por telefone e presencial,']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",TE,,SE,Aracaju,2800308
5826837,ESTAGIO,INSTITUTO DE OLHOS DE SERGIPE LTDA,,Administrativa - TÉC.,,700.0,1,Mensal,FIXO,,,,,,,[],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'São José', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",A_COMBINAR,,,"['Ajudar na triagem e agendamento de consultas e exames, Marcação de consultas, Auxiliar os pacientes de consultas e Exames', 'Conferir as agendas dos médicos do dia seguinte, após inicia se a confirmação com o paciente,', 'Agendar consultas por telefone e presencial,,']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",TE,,SE,Aracaju,2800308
5821448,ESTAGIO,INOVADA COSMETICOS,,Administrativa - TÉC.,,650.0,1,Mensal,FIXO,,,,,,,[],"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Ponto Novo', 'complemento': None, 'cep': None, 'cidade': 'Aracaju', 'uf': 'SE'}",DEFINIDO,07:30:00,14:00:00,"['Auxiliar na elaboração e digitalização de textos, referente as rotinas do setor', 'Auxiliar na separação de materiais por grupos de estoque', 'Auxiliar nas rotinas administrativas', 'Conferir estoque de material', 'Fazer o controle de estoque']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",TE,,SE,Aracaju,2800308
