codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5837952,ESTAGIO,NAKOMBI INFORMATICA,,Ensino Médio,,1100.0,1,Mensal,FIXO,,,,,,,[],Comércio varejista especializado de equipamentos e suprimentos de informática,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Cidade Monções', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,08:00:00,15:00:00,"['Acompanhar o atendimento ao cliente', 'Auxiliar no controle do armazenamento de mercadoria', 'Fazer armazenamento de mercadorias em locais apropriados', 'Receber , atender, orientar e negociar com clientes internos e externos']","{'semestreInicio': 1, 'semestreFinal': 3, 'escolas': None}",EM,,SP,São Paulo,3550308
5837744,ESTAGIO,SCANSOURCE BRASIL,,TECNOLOGIA - 20H ESTAGIO SEMANAL,,851.46,1,Mensal,FIXO,,,,,,,[],Consultoria em publicidade,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Indianópolis', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,14:00:00,18:00:00,"['Analisar sistemas e programas', 'Desenvolver relatórios diversos', 'Participar de reuniões internas com fornecedores e clientes']","{'semestreInicio': 3, 'semestreFinal': 6, 'escolas': None}",EM,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/14520586/logo beem amarelo 2.png,SP,São Paulo,3550308
5837685,ESTAGIO,NUCLEO DE EDUCACAO INFANTIL TERRA AZUL S/S LTDA,,Educação,,1000.0,1,Mensal,FIXO,,,,,,,[],Educação infantil - pré-escola,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Vila Santo Antônio', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,07:00:00,13:00:00,"['Acompanhamento supervisionado aos alunos nas atividades recreativas', 'Acompanhamento supervisionado na organização das atividades recreativas', 'Acompanhamento supervisionado nas atividades em sala de aula', 'Acompanhamento supervisionado no auxilio ao professor em sala de aula', 'Acompanhar as atividades durante a recreação', 'Acompanhar as crianças no intervalo']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",SU,,SP,São Paulo,3550308
5837215,ESTAGIO,Saint Germain Padaria Artesanal,,Marketing,,1200.0,2,Mensal,FIXO,,,,,,,"[{'codigo': 42, 'beneficio': 'Restaurante no local', 'valor': 0}]",Fabricação de produtos de panificação industrial,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Europa', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,10:00:00,16:00:00,"['Acompanhar e atualizar a home Page', 'Auxiliar na criação de conteúdos para as redes sociais', 'Auxiliar o acompanhamento de postagem corretas de materiais']","{'semestreInicio': 4, 'semestreFinal': 7, 'escolas': None}",SU,,SP,São Paulo,3550308
5836988,ESTAGIO,INOVA MACHINES LTDA,,Marketing - TÉC.,,900.0,1,Mensal,FIXO,,,,,,,[],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santo Amaro', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,10:00:00,16:00:00,"['Acompanhar o processo das campanhas publicitarias', 'Planejar campanhas publicitarias', 'Sintetizar dados de pesquisa']","{'semestreInicio': 2, 'semestreFinal': 4, 'escolas': None}",TE,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13428579/download (8).png,SP,São Paulo,3550308
5836970,ESTAGIO,INOVA MACHINES LTDA,,Administrativa - TÉC.,,900.0,1,Mensal,FIXO,,,,,,,[],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Santo Amaro', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,10:00:00,16:00:00,"['Elaboração e preenchimento de planilhas  relatórios', 'Atendimento telefônico', 'Auxílio geral áreas administrativas']","{'semestreInicio': 2, 'semestreFinal': 4, 'escolas': None}",TE,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13428579/download (8).png,SP,São Paulo,3550308
5836935,ESTAGIO,MR7 AGENCIA PRODUTORA LTDA,,Administrativa,,,1,Mensal,A_COMBINAR,,,900.0,1200.0,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'República', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,09:00:00,16:00:00,"['Analisar documentos e planilhas', 'Auxiliar nas rotinas administrativas', 'Auxiliar no atendimento ao cliente']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,SP,São Paulo,3550308
5836913,ESTAGIO,MR7 AGENCIA PRODUTORA LTDA,,Administrativa,,,1,Mensal,A_COMBINAR,,,900.0,1200.0,,,[],,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Parque Casa de Pedra', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,09:00:00,16:00:00,"['Arquivar documentos', 'Atualizar planilhas de controle', 'Auxiliar nas rotinas administrativas', 'Auxiliar no atendimento ao cliente']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,,SP,São Paulo,3550308
5836904,ESTAGIO,COLEGIO SULLER GARCIA LTDA,,Marketing,,800.0,1,Mensal,FIXO,,,,,,,[],Educação infantil - creche,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Vila Taquari', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,12:00:00,18:00:00,"['Acompanhar a operação e execução de Mídia', 'Atuar no suporte em edição de vídeos', 'Apoiar na elaboração de vídeos e animações para web']","{'semestreInicio': 3, 'semestreFinal': 18, 'escolas': None}",SU,,SP,São Paulo,3550308
5836762,ESTAGIO,COLEGIO SULLER GARCIA LTDA,,Design,,900.0,1,Mensal,FIXO,,,,,,,[],Educação infantil - creche,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Vila Taquari', 'complemento': None, 'cep': None, 'cidade': 'São Paulo', 'uf': 'SP'}",DEFINIDO,09:00:00,15:00:00,"['Auxiliar a montagem de apresentações', 'Auxiliar na captura e edição de imagens', 'Auxiliar na producao de conteudo para redes sociais']","{'semestreInicio': 1, 'semestreFinal': 8, 'escolas': None}",SU,,SP,São Paulo,3550308
