codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5835204,ESTAGIO,MEDFARMA,,Ensino Médio,,500.0,1,Mensal,FIXO,,,,,,,[],"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Aureny III', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,15:00:00,20:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar sistemas internos', 'Auxiliar no atendimento ao público']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",EM,,TO,Palmas,1721000
5835175,ESTAGIO,MEDFARMA,,Ensino Médio,,500.0,1,Mensal,FIXO,,,,,,,[],"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Jardim Aureny III', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,07:00:00,12:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acompanhar o atendimento ao cliente', 'Ajudar no atendimento de telefone e de público']","{'semestreInicio': 1, 'semestreFinal': 4, 'escolas': None}",EM,,TO,Palmas,1721000
5833895,ESTAGIO,JUCETINS,,Campo do direito,,1050.0,1,Mensal,FIXO,,,,,,,[],Regulação das atividades econômicas,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Sul', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,08:00:00,14:00:00,"['Acessar e controlar pastas e arquivos jurídico, bem como inserir dados e publicações oficiais no sistema informatizado de acompanhamento de processos']","{'semestreInicio': 3, 'semestreFinal': 9, 'escolas': None}",SU,,TO,Palmas,1721000
5827327,ESTAGIO,TRIB DE JUSTICA,,Campo do direito,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Acessar arquivos diversos', 'Acompanhamento de processos internos']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,TO,Palmas,1721000
5827096,ESTAGIO,PALMAS METODO DE ENSINO LTDA ME,,Educação,,1500.0,1,Mensal,FIXO,,,,,,,[],Outras atividades de ensino não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,08:00:00,15:00:00,"['Acompanhamento supervisionado aos alunos nas atividades recreativas', 'Acompanhamento supervisionado em escolas do município', 'Acompanhamento supervisionado nas atividades em sala de aula']","{'semestreInicio': 2, 'semestreFinal': 6, 'escolas': None}",SU,,TO,Palmas,1721000
5826963,ESTAGIO,TRIBUNAL DE CONTAS DO ESTADO DO TOCANTINS,,Informática,,1000.0,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,14:00:00,18:00:00,['Acessar as funções de pesquisa tecnológica'],"{'semestreInicio': 4, 'semestreFinal': 8, 'escolas': None}",SU,,TO,Palmas,1721000
5821310,ESTAGIO,IFTO - CAMPUS DE PALMAS,,Administrativa,,787.98,1,Mensal,FIXO,,,,,,,[],Educação profissional de nível tecnológico,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Sul', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,16:00:00,20:00:00,"['Acompanhamento de processos internos', 'Apoiar a equipe no atendimento das demandas dos clientes internos', 'Auxiliar documentos administrativos', 'Auxiliar no atendimento ao publico', 'Apoiar na elaboração de relatórios e documentos administrativos']","{'semestreInicio': 2, 'semestreFinal': 5, 'escolas': None}",SU,,TO,Palmas,1721000
5820143,ESTAGIO,THEILA MARTINS COSTA EIRELE,,Administrativa,,700.0,1,Mensal,FIXO,,,,,,,[],Outras atividades de ensino não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Centro (Taquaralto)', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,08:00:00,15:00:00,['Acompanhamento do atendimento ao telefone'],"{'semestreInicio': 2, 'semestreFinal': 10, 'escolas': None}",SU,,TO,Palmas,1721000
5818645,ESTAGIO,CRO-TO,,Comunicação,,850.0,1,Mensal,FIXO,,,,,,,[],Outras atividades associativas profissionais,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Sul', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,17:00:00,"['Acessar as redes sociais da categoria', 'Auxiliar no planejamento de divulgação de eventos', 'Auxiliar no suporte aos gestores nas funções administrativas gerais', 'Acessar documentos diversos']","{'semestreInicio': 3, 'semestreFinal': 8, 'escolas': None}",SU,,TO,Palmas,1721000
5817983,ESTAGIO,TRIB DE JUSTICA,,Comunicação,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Assessorar mídias sociais', 'Auxiliar na divulgação de informação para mídia', 'Auxiliar no planejamento de divulgação de eventos', 'Auxiliar no suporte aos gestores nas funções administrativas gerais']","{'semestreInicio': 3, 'semestreFinal': 5, 'escolas': None}",SU,,TO,Palmas,1721000
5817872,ESTAGIO,TRIB DE JUSTICA,,Campo do direito,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Acompanhar andamentos processuais', 'Redigir Despachos e Ofícios', 'Redigir documentos administrativos']","{'semestreInicio': 4, 'semestreFinal': 8, 'escolas': None}",SU,,TO,Palmas,1721000
5815931,ESTAGIO,GIGANTE ADMINISTRACAO E CONTROLE,,Ensino Médio,,1000.0,1,Mensal,FIXO,,,,,,,[],Serviços combinados de escritório e apoio administrativo,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Sul', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,14:00:00,20:00:00,"['Auxiliar a separação de produtos e pedidos', 'Auxiliar no atendimento ao público', 'Desenvolver atividades de apoio administrativo']","{'semestreInicio': 1, 'semestreFinal': 6, 'escolas': None}",EM,,TO,Palmas,1721000
5802460,ESTAGIO,TRIBUNAL DE JUSTICA DO ESTADO DO TOCANTINS,,Administrativa,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Acessar arquivos diversos', 'Acompanhamento do atendimento ao telefone']","{'semestreInicio': 3, 'semestreFinal': 7, 'escolas': None}",SU,,TO,Palmas,1721000
5802387,ESTAGIO,TRIBUNAL DE JUSTICA DO ESTADO DO TOCANTINS,,Educação,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Acompanhamento supervisionado aos alunos nas atividades recreativas', 'Acompanhamento supervisionado em escolas do município', 'Acompanhamento supervisionado nas atividades em sala de aula']","{'semestreInicio': 3, 'semestreFinal': 5, 'escolas': None}",SU,,TO,Palmas,1721000
5799930,ESTAGIO,TRIBUNAL DE JUSTICA DO ESTADO DO TOCANTINS,,Administrativa,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Acessar arquivos diversos', 'Acessar na elaboração de relatórios mensais']","{'semestreInicio': 3, 'semestreFinal': 5, 'escolas': None}",SU,,TO,Palmas,1721000
5790971,ESTAGIO,TRIBUNAL DE CONTAS DO ESTADO DO TOCANTINS,,Administrativa,,1000.0,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,14:00:00,18:00:00,"['Acessar arquivos diversos e auxiliar na execução de rotinas da área', 'Acessar arquivos diversos e distinguir o status de relevância', 'Acessar arquivos diversos e elaborar relatórios sob demanda', 'Acessar arquivos e carrega-los com informações solicitadas', 'Acessar na elaboração de relatórios mensais', 'Acessar sistemas internos', 'Acessar na instrucao dos processos organizacionais', 'Acompanhamento comunicação WhatsApp e email']","{'semestreInicio': 4, 'semestreFinal': 8, 'escolas': None}",SU,,TO,Palmas,1721000
5782613,ESTAGIO,TRIB DE JUSTICA,,Campo do direito,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Redigir Despachos e Ofícios', 'Pesquisar legislação', 'Elaborar petições diversas', 'Acompanhar andamentos processuais']","{'semestreInicio': 5, 'semestreFinal': 8, 'escolas': None}",SU,,TO,Palmas,1721000
5775793,ESTAGIO,TRIB DE JUSTICA,,Campo do direito,,1260.0,1,Mensal,FIXO,,,,,,,[],Justiça,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Plano Diretor Norte', 'complemento': None, 'cep': None, 'cidade': 'Palmas', 'uf': 'TO'}",DEFINIDO,13:00:00,18:00:00,"['Redigir Despachos e Ofícios', 'Redigir documentos administrativos', 'Pesquisar legislação', 'Acompanhar andamentos processuais', 'Doutrina e Jurisprudência do Direito']","{'semestreInicio': 4, 'semestreFinal': 8, 'escolas': None}",SU,,TO,Palmas,1721000
